row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,gaussian_process,0,bucketed,none,64,512,3,12,3.669473372399807,3.6531287655234337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,13,3.7600080519914627,3.6463629081845284,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,14,3.7729751989245415,3.6698237657546997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,15,3.9624214842915535,3.7705836445093155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,16,3.8274422362446785,3.702522285282612,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,17,3.9365286827087402,3.566666468977928,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,18,3.9192348644137383,3.5373875200748444,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,19,3.99506064504385,4.098819449543953,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,20,4.092826075851917,3.7127795293927193,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,21,3.940863788127899,3.605560392141342,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,22,4.320484176278114,3.676087774336338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,23,4.836540415883064,3.6585437804460526,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,24,5.999781474471092,3.6854527592658997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,25,5.183199293911457,3.528969593346119,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,26,4.717669382691383,3.6074571311473846,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,27,3.7099670842289925,3.880953848361969,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,28,3.692704848945141,3.553792953491211,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
