row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,funnel,0,bucketed,history,64,128,4,13,0.5085782259702682,0.4577415660023689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,14,0.5604418516159058,0.45820730924606323,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,15,0.5486304685473442,0.5078118667006493,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,16,0.470525361597538,0.466131828725338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,17,0.5505524426698685,0.5183276832103729,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,18,0.5715261027216911,0.5155332684516907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,19,0.5387277230620384,0.5784299597144127,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,20,0.5460624545812607,0.5075557827949524,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,21,0.6005387231707573,0.5239628702402115,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,22,0.6215813979506493,0.5127561986446381,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,23,0.6783552691340446,0.4894726797938347,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,24,0.47290926426649094,0.5419622361660004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,25,0.5700337141752243,0.48288095742464066,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,26,0.557732492685318,0.49665115028619766,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,27,0.551610678434372,0.5058698132634163,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
