step,chain,dim_0,dim_1,dim_2,dim_3
1,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
1,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
1,2,-0.13090373575687408,0.019388774409890175,0.09932497143745422,-0.06469815969467163
1,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
1,4,0.2404119372367859,-0.15310825407505035,0.07964658737182617,-0.2003648579120636
1,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
1,6,-0.08269797265529633,0.031695570796728134,-0.306312620639801,0.09461744874715805
1,7,0.2227577269077301,-0.13552415370941162,-0.1981533020734787,0.028824374079704285
2,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
2,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
2,2,-0.12279142439365387,0.07215598970651627,0.06414283066987991,-0.05915956199169159
2,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
2,4,0.2404119372367859,-0.15310825407505035,0.07964658737182617,-0.2003648579120636
2,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
2,6,-0.08269797265529633,0.031695570796728134,-0.306312620639801,0.09461744874715805
2,7,0.2227577269077301,-0.13552415370941162,-0.1981533020734787,0.028824374079704285
3,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
3,1,0.4575868844985962,0.1333886831998825,0.03179255872964859,0.09159525483846664
3,2,-0.12279142439365387,0.07215598970651627,0.06414283066987991,-0.05915956199169159
3,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
3,4,-0.33552518486976624,0.17877408862113953,0.16761289536952972,-0.10024674236774445
3,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
3,6,-0.08461709320545197,0.07756708562374115,-0.27298805117607117,0.11743199080228806
3,7,0.2218458652496338,-0.26334407925605774,-0.8525862097740173,0.2435738742351532
4,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
4,1,0.4575868844985962,0.1333886831998825,0.03179255872964859,0.09159525483846664
4,2,-0.12279142439365387,0.07215598970651627,0.06414283066987991,-0.05915956199169159
4,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
4,4,-0.33552518486976624,0.17877408862113953,0.16761289536952972,-0.10024674236774445
4,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
4,6,-0.16281020641326904,0.12587161362171173,-0.1520620733499527,0.33641862869262695
4,7,0.44954031705856323,-0.03692222386598587,-0.6559024453163147,0.30940499901771545
5,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
5,1,0.4575868844985962,0.1333886831998825,0.03179255872964859,0.09159525483846664
5,2,-0.12279142439365387,0.07215598970651627,0.06414283066987991,-0.05915956199169159
5,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
5,4,-0.33279818296432495,0.14544761180877686,0.25441327691078186,-0.11418639123439789
5,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
5,6,-0.30660495162010193,0.06911297887563705,-0.21175004541873932,0.15341031551361084
5,7,0.44954031705856323,-0.03692222386598587,-0.6559024453163147,0.30940499901771545
6,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
6,1,0.4575868844985962,0.1333886831998825,0.03179255872964859,0.09159525483846664
6,2,-0.3080006241798401,-0.1978999674320221,0.23015733063220978,-0.09301668405532837
6,3,0.033200956881046295,0.08343464881181717,0.019901646301150322,-0.20038670301437378
6,4,-0.33279818296432495,0.14544761180877686,0.25441327691078186,-0.11418639123439789
6,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
6,6,-0.34986191987991333,-0.07666125893592834,-0.20897513628005981,0.1356590986251831
6,7,0.5364470481872559,-0.03691278398036957,-0.6589564085006714,0.23430854082107544
7,0,0.0636826902627945,-0.03923105075955391,-0.017707131803035736,-0.053381022065877914
7,1,0.4575868844985962,0.1333886831998825,0.03179255872964859,0.09159525483846664
7,2,-0.21450969576835632,0.0038055777549743652,0.19861924648284912,-0.22268640995025635
7,3,0.033200956881046295,0.08343464881181717,0.019901646301150322,-0.20038670301437378
7,4,-0.33279818296432495,0.14544761180877686,0.25441327691078186,-0.11418639123439789
7,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
7,6,-0.34986191987991333,-0.07666125893592834,-0.20897513628005981,0.1356590986251831
7,7,0.5364470481872559,-0.03691278398036957,-0.6589564085006714,0.23430854082107544
8,0,-0.16688832640647888,-0.5538325309753418,0.06806015968322754,-0.1394779235124588
8,1,0.4575868844985962,0.1333886831998825,0.03179255872964859,0.09159525483846664
8,2,-0.21450969576835632,0.0038055777549743652,0.19861924648284912,-0.22268640995025635
8,3,0.033200956881046295,0.08343464881181717,0.019901646301150322,-0.20038670301437378
8,4,-0.47145530581474304,0.21278145909309387,0.12984013557434082,-0.08203322440385818
8,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
8,6,-0.34986191987991333,-0.07666125893592834,-0.20897513628005981,0.1356590986251831
8,7,0.5364470481872559,-0.03691278398036957,-0.6589564085006714,0.23430854082107544
