step,mean_acceptance_statistic,divergence_count,total_leapfrog_count,max_realized_tree_depth,mean_gradient_norm,max_tree_depth_hit_count
1,0.9999698400497437,0,15,3,1.4953863620758057,0
2,0.9999198913574219,0,19,3,1.4955205917358398,1
3,0.9999358654022217,0,29,3,1.481546401977539,3
4,0.999862551689148,0,23,3,1.4879035949707031,1
5,0.9999834299087524,0,20,3,1.4875389337539673,1
6,0.9999867677688599,0,25,3,1.487114429473877,2
7,0.9999698400497437,0,20,3,1.487337589263916,2
8,0.999982476234436,0,17,3,1.4800145626068115,1
