method,variable,dimension,mean,sd,r_hat,bulk_ess,tail_ess,mcse_mean,divergence_count,max_tree_depth_hit_count,max_realized_tree_depth
monolithic,q_0,0,0.01529449038207531,0.26715442538261414,2.6931831033770566,115.59551833496877,115.59551833496877,0.0248480249385001,0,11,3
monolithic,q_1,1,0.03192554786801338,0.13758251070976257,1.6133425353276418,115.59551833496877,115.59551833496877,0.01279654511551324,0,11,3
monolithic,q_2,2,-0.04888007044792175,0.2476896494626999,3.199806883693203,115.59551833496877,115.59551833496877,0.023037606725185258,0,11,3
monolithic,q_3,3,-0.011597100645303726,0.13835756480693817,2.0163237776001157,115.59551833496877,115.59551833496877,0.012868632873399805,0,11,3
bucketed,q_0,0,0.01529449038207531,0.26715442538261414,2.6931831033770566,115.59551833496877,115.59551833496877,0.0248480249385001,0,11,3
bucketed,q_1,1,0.03192554786801338,0.13758251070976257,1.6133425353276418,115.59551833496877,115.59551833496877,0.01279654511551324,0,11,3
bucketed,q_2,2,-0.04888007044792175,0.2476896494626999,3.199806883693203,115.59551833496877,115.59551833496877,0.023037606725185258,0,11,3
bucketed,q_3,3,-0.011597100645303726,0.13835756480693817,2.0163237776001157,115.59551833496877,115.59551833496877,0.012868632873399805,0,11,3
