row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,eight_schools_noncentered,0,bucketed,none,64,512,10,4,0.4479367583990097,0.44676224142313004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,5,0.43346019089221954,0.39757394045591354,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,6,0.6227362304925919,0.4016559198498726,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,7,0.4739222452044487,0.38334309309720993,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,8,0.4722445234656334,0.3394717425107956,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,9,0.4694826453924179,0.37297769635915756,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,10,0.5291802659630775,0.34605366736650467,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,11,0.4724007174372673,0.42808888107538223,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,12,0.41826025396585464,0.4287589490413666,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,13,0.45357856154441833,0.420529380440712,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,14,0.5111172795295715,0.4115296006202698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,15,0.45931578427553177,0.3401256948709488,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,16,0.5250643417239189,0.42289555817842484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,17,0.5138049200177193,0.3769807815551758,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,18,0.44124532490968704,0.38544071465730667,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,19,0.45922209322452545,0.3453206568956375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,20,0.45536598563194275,0.3646005839109421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,21,0.5006814673542976,0.32939979434013367,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,22,0.5187671631574631,0.32387368381023407,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,23,0.4590848609805107,0.4330030307173729,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,24,0.5108638107776642,0.32279250025749207,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,25,0.5343362018465996,0.37614551186561584,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,26,0.5210133641958237,0.4412890747189522,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,27,0.47887346148490906,0.3443664237856865,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,28,0.5263878852128983,0.4727290868759155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,29,0.45284631848335266,0.33263758569955826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,0,0.4217451140284538,0.43371886759996414,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,1,0.47376278042793274,0.4233863726258278,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
