step,chain,dim_0,dim_1,dim_2,dim_3
1,0,0.20209506154060364,-0.06671592593193054,-0.02542724460363388,-0.015800483524799347
1,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
1,2,-0.13090373575687408,0.019388774409890175,0.09932497143745422,-0.06469815969467163
1,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
2,0,0.19835546612739563,0.048502933233976364,-0.053689345717430115,0.030403032898902893
2,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
2,2,-0.13090373575687408,0.019388774409890175,0.09932497143745422,-0.06469815969467163
2,3,0.005714677274227142,0.16220934689044952,-0.07317762821912766,-0.018497057259082794
3,0,0.2260032445192337,0.06945064663887024,-0.06372904032468796,0.03449993208050728
3,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
3,2,-0.17892086505889893,0.06602494418621063,0.06775610148906708,0.039904288947582245
3,3,0.005714677274227142,0.16220934689044952,-0.07317762821912766,-0.018497057259082794
4,0,0.2260032445192337,0.06945064663887024,-0.06372904032468796,0.03449993208050728
4,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
4,2,-0.17892086505889893,0.06602494418621063,0.06775610148906708,0.039904288947582245
4,3,-0.009339742362499237,0.17669269442558289,-0.06198129430413246,-0.01156214065849781
5,0,0.2260032445192337,0.06945064663887024,-0.06372904032468796,0.03449993208050728
5,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
5,2,-0.17892086505889893,0.06602494418621063,0.06775610148906708,0.039904288947582245
5,3,-0.009339742362499237,0.17669269442558289,-0.06198129430413246,-0.01156214065849781
6,0,0.2260032445192337,0.06945064663887024,-0.06372904032468796,0.03449993208050728
6,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
6,2,-0.17892086505889893,0.06602494418621063,0.06775610148906708,0.039904288947582245
6,3,-0.009339742362499237,0.17669269442558289,-0.06198129430413246,-0.01156214065849781
7,0,0.2260032445192337,0.06945064663887024,-0.06372904032468796,0.03449993208050728
7,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
7,2,-0.16320356726646423,0.05805591121315956,0.02197849377989769,0.004670213907957077
7,3,-0.009339742362499237,0.17669269442558289,-0.06198129430413246,-0.01156214065849781
8,0,0.21414704620838165,0.04618344455957413,-0.08696544170379639,0.03576609864830971
8,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
8,2,-0.14532041549682617,0.12846145033836365,0.018841246142983437,0.034642916172742844
8,3,0.16101907193660736,0.21346092224121094,0.05996299162507057,-0.09571792185306549
9,0,0.19813808798789978,0.08520607650279999,-0.03925993666052818,0.08476251363754272
9,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
9,2,-0.14532041549682617,0.12846145033836365,0.018841246142983437,0.034642916172742844
9,3,0.16101907193660736,0.21346092224121094,0.05996299162507057,-0.09571792185306549
10,0,0.19813808798789978,0.08520607650279999,-0.03925993666052818,0.08476251363754272
10,1,-0.015044480562210083,-0.17669197916984558,0.03604079782962799,0.02535298466682434
10,2,-0.14532041549682617,0.12846145033836365,0.018841246142983437,0.034642916172742844
10,3,0.14438922703266144,0.27515482902526855,0.08178240060806274,-0.13610996305942535
11,0,0.19813808798789978,0.08520607650279999,-0.03925993666052818,0.08476251363754272
11,1,0.0008272528648376465,-0.18231573700904846,0.04495201259851456,0.006858553737401962
11,2,-0.14532041549682617,0.12846145033836365,0.018841246142983437,0.034642916172742844
11,3,0.07006005942821503,0.2959919273853302,0.10172741115093231,-0.17241571843624115
12,0,0.23101942241191864,0.09630919247865677,-0.06037207320332527,0.08746464550495148
12,1,0.0008272528648376465,-0.18231573700904846,0.04495201259851456,0.006858553737401962
12,2,-0.12759214639663696,0.15109388530254364,-0.08648166060447693,-0.008827466517686844
12,3,0.07006005942821503,0.2959919273853302,0.10172741115093231,-0.17241571843624115
