method,variable,dimension,mean,sd,r_hat,bulk_ess,tail_ess,mcse_mean,divergence_count,max_tree_depth_hit_count,max_realized_tree_depth
monolithic,q_0,0,0.00707554817199707,0.14710885286331177,3.150769035661466,12.929071042986441,15.882352941176471,0.0417709103138953,0,13,2
monolithic,q_1,1,0.07576269656419754,0.10756544768810272,2.800271332439846,13.042898576766719,17.77777777777778,0.029530785969336042,0,13,2
monolithic,q_2,2,0.001247342093847692,0.0581774041056633,1.657718826680394,16.034180656799382,23.478260869565215,0.015385168124494588,0,13,2
monolithic,q_3,3,-0.01638956554234028,0.06643268465995789,1.954993487012626,14.36704277644944,17.77777777777778,0.01739919708295221,0,13,2
bucketed,q_0,0,0.00707554817199707,0.14710885286331177,3.150769035661466,12.929071042986441,15.882352941176471,0.0417709103138953,0,13,2
bucketed,q_1,1,0.07576269656419754,0.10756544768810272,2.800271332439846,13.042898576766719,17.77777777777778,0.029530785969336042,0,13,2
bucketed,q_2,2,0.001247342093847692,0.0581774041056633,1.657718826680394,16.034180656799382,23.478260869565215,0.015385168124494588,0,13,2
bucketed,q_3,3,-0.01638956554234028,0.06643268465995789,1.954993487012626,14.36704277644944,17.77777777777778,0.01739919708295221,0,13,2
