model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
funnel,,,0,monolithic,nuts_reference,monolithic,0,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.16167031228542328,1.0,0.16167031228542328,0.16167031228542328,1.0,27621,0,5,27621,0,5,27621,0,5,,0,0.0,0.0,0,True,3.233493462204933,3.07182314991951,0.16167031228542328,0.0,0.16167031228542328,0.0,0.0,0.0,0.16167031228542328,0.0,0
funnel,,,0,bucketed,bucketed_nuts,none,128,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.21130897849798203,0.7650896494536185,0.16167031228542328,0.21130897849798203,0.7650896494536185,27621,0,5,27621,0,5,27621,0,5,1,0,0.0,0.0,0,True,2.623527370393276,2.412218391895294,0.21130897849798203,0.03970062732696533,0.1142159253358841,0.0012586191296577454,0.003687821328639984,0.0,0.15886299312114716,0.05244598537683487,0
funnel,,,0,bucketed,bucketed_nuts,none,512,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.4644696116447449,0.34807511241247524,0.16167031228542328,0.4644696116447449,0.34807511241247524,27621,0,5,27621,0,5,27621,0,5,1,384,0.75,0.0,0,True,2.526491217315197,2.062021605670452,0.4644696116447449,0.04223669320344925,0.35814210772514343,0.0018467605113983154,0.008112452924251556,0.0,0.41033801436424255,0.05413159728050232,0
funnel,,,0,bucketed,bucketed_nuts,history,128,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.18839231133460999,0.8581576983695218,0.16167031228542328,0.18839231133460999,0.8581576983695218,27621,0,5,27621,0,5,27621,0,5,1,0,0.0,0.0,0,True,0.19213230162858963,0.0037399902939796448,0.18839231133460999,0.02753148227930069,0.0996309220790863,0.0012686923146247864,0.0038645341992378235,0.0,0.1322956308722496,0.05609668046236038,0
funnel,,,0,bucketed,bucketed_nuts,history,512,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.4344547316431999,0.37212234212285333,0.16167031228542328,0.4344547316431999,0.37212234212285333,27621,0,5,27621,0,5,27621,0,5,1,384,0.75,0.0,0,True,0.44338782876729965,0.008933097124099731,0.4344547316431999,0.02874409407377243,0.35082752257585526,0.0018409192562103271,0.008011706173419952,0.0,0.38942424207925797,0.045030489563941956,0
