model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
funnel,,,0,monolithic,nuts_reference,monolithic,0,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.14487159252166748,1.0,0.14487159252166748,0.14487159252166748,1.0,3056,0,5,3056,0,5,3056,0,5,,0,0.0,0.0,0,True,19.624026775360107,19.47915518283844,0.14487159252166748,0.0,0.14487159252166748,0.0,0.0,0.0,0.14487159252166748,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,32,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.21364490687847137,0.6780952311869314,0.14487159252166748,0.21364490687847137,0.6780952311869314,3056,0,5,3056,0,5,3056,0,5,4,0,0.0,0.0,0,True,19.075467586517334,18.861822679638863,0.21364490687847137,0.02688267081975937,0.11955539137125015,0.0014124289155006409,0.004954434931278229,0.0,0.1528049260377884,0.06083998084068298,0
funnel,,,0,bucketed,bucketed_nuts,history,64,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.2035086452960968,0.7118694751806991,0.14487159252166748,0.2035086452960968,0.7118694751806991,3056,0,5,3056,0,5,3056,0,5,2,0,0.0,0.0,0,True,18.90095916390419,18.697450518608093,0.2035086452960968,0.027149207890033722,0.11264823377132416,0.0013263225555419922,0.004495374858379364,0.0,0.14561913907527924,0.057889506220817566,0
funnel,,,0,bucketed,bucketed_nuts,history,128,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.20722942799329758,0.699087933236746,0.14487159252166748,0.20722942799329758,0.699087933236746,3056,0,5,3056,0,5,3056,0,5,1,0,0.0,0.0,0,True,20.169913180172443,19.962683752179146,0.20722942799329758,0.027774646878242493,0.10918700695037842,0.0012601837515830994,0.005192212760448456,0.0,0.14341405034065247,0.06381537765264511,0
