row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,eight_schools_centered,0,bucketed,none,64,512,10,11,1.93625096231699,2.0339782685041428,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,12,2.051722437143326,2.0171046629548073,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,13,1.8969318941235542,2.0841848850250244,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,14,1.8500909805297852,2.0174858942627907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,15,1.8930482864379883,2.100391775369644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,16,1.945580244064331,1.9914533644914627,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,17,2.0854021832346916,2.0405857786536217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,18,1.9307056814432144,2.0139219909906387,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,19,2.154460594058037,2.03299493342638,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,20,2.16092362254858,2.0420066565275192,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,21,1.9227204769849777,2.30061886459589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,22,2.217645116150379,2.491060383617878,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,23,2.017988830804825,2.551964722573757,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,24,1.943167395889759,2.130551427602768,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
