step,chain,dim_0,dim_1,dim_2,dim_3
1,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
1,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
1,2,-0.13090373575687408,0.019388774409890175,0.09932497143745422,-0.06469815969467163
1,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
1,4,0.2404119372367859,-0.15310825407505035,0.07964658737182617,-0.2003648579120636
1,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
1,6,-0.08269797265529633,0.031695570796728134,-0.306312620639801,0.09461744874715805
1,7,0.2227577269077301,-0.13552415370941162,-0.1981533020734787,0.028824374079704285
2,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
2,1,-0.10163488984107971,-0.007212002296000719,0.017919648438692093,-0.08310992270708084
2,2,-0.12279142439365387,0.07215598970651627,0.06414283066987991,-0.05915956199169159
2,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
2,4,0.2404119372367859,-0.15310825407505035,0.07964658737182617,-0.2003648579120636
2,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
2,6,-0.08269797265529633,0.031695570796728134,-0.306312620639801,0.09461744874715805
2,7,0.2227577269077301,-0.13552415370941162,-0.1981533020734787,0.028824374079704285
3,0,0.11616656184196472,-0.1051429733633995,-0.01994248479604721,-0.052410390228033066
3,1,0.4575868844985962,0.1333886831998825,0.03179255872964859,0.09159525483846664
3,2,-0.12279142439365387,0.07215598970651627,0.06414283066987991,-0.05915956199169159
3,3,-0.03336679935455322,0.16456717252731323,-0.05588897690176964,-0.051415666937828064
3,4,-0.33552518486976624,0.17877408862113953,0.16761289536952972,-0.10024674236774445
3,5,-0.05969627574086189,0.1503680944442749,0.12214364111423492,-0.09011201560497284
3,6,-0.08461709320545197,0.07756708562374115,-0.27298805117607117,0.11743199080228806
3,7,0.2218458652496338,-0.26334407925605774,-0.8525862097740173,0.2435738742351532
