benchmark,model,seed,scheduler_mode,scheduler_label,is_analysis_upper_bound,bucket_size,num_chains,dimension,num_steps,step_size,max_tree_depth,predictor_beta,t_mono,t_mode,speedup,padding_ratio,padding_count,mean_predictor_abs_error,mean_bucket_realized_max,mean_sum_bucket_realized_max,mean_global_realized_max,bucket_max_over_global_max,total_leapfrog_count,divergence_count,max_realized_tree_depth,hvp_overhead_seconds,hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count,timing_gather_scatter_seconds,timing_non_executor_overhead_seconds,timing_dominant_warm_component,timing_dominant_warm_component_seconds
oracle_gap,funnel,0,monolithic,monolithic,False,0,4,4,2,0.03,2,0.9,0.03183042258024216,0.03183042258024216,1.0,0.0,0,0.0,2.0,2.0,2.0,1.0,14,0,2,0.0,0,True,3.23028851300478,3.1984580904245377,0.03183042258024216,0.0,0.03183042258024216,0.0,0.0,0.0,0.03183042258024216,0.0,0,0.0,0.0,executor,0.03183042258024216
oracle_gap,funnel,0,unsorted,unsorted,False,2,4,4,2,0.03,2,0.9,0.03183042258024216,0.050279825925827026,0.633065488874176,0.0,0,0.375,1.75,3.5,2.0,1.75,14,0,2,0.0,0,True,2.2420800551772118,2.1918002292513847,0.050279825925827026,0.009542025625705719,0.0007562786340713501,0.00017955899238586426,0.0003827512264251709,0.0,0.010860614478588104,0.03941921144723892,0,0.0005623102188110352,0.049523547291755676,unattributed,0.03941921144723892
oracle_gap,funnel,0,random,random,False,2,4,4,2,0.03,2,0.9,0.03183042258024216,0.05085647851228714,0.6258872716197169,0.0,0,0.7621550112962723,1.5,3.0,2.0,1.5,14,0,2,0.0,0,True,0.16484078019857407,0.11398430168628693,0.05085647851228714,0.009761832654476166,0.0009298026561737061,0.00023080408573150635,0.0005179494619369507,0.0,0.011440388858318329,0.03941608965396881,0,0.000748753547668457,0.049926675856113434,unattributed,0.03941608965396881
oracle_gap,funnel,0,history,history,False,2,4,4,2,0.03,2,0.9,0.03183042258024216,0.043907977640628815,0.7249348362332433,0.0,0,0.36249999701976776,1.5,3.0,2.0,1.5,14,0,2,0.0,0,True,0.044145964086055756,0.00023798644542694092,0.043907977640628815,0.006103493273258209,0.0006815493106842041,0.00018052011728286743,0.0003433898091316223,0.0,0.007308952510356903,0.03659902513027191,0,0.0005239099264144897,0.04322642832994461,unattributed,0.03659902513027191
oracle_gap,funnel,0,hvp,hvp,False,2,4,4,2,0.03,2,0.9,0.03183042258024216,0.1230708435177803,0.25863495910502593,0.0,0,0.5931826829910278,1.5,3.0,2.0,1.5,14,0,2,0.07538974285125732,2,True,0.8423761948943138,0.7193053513765335,0.1230708435177803,0.006695114076137543,0.0008692741394042969,0.0001912936568260193,0.00039746612310409546,0.07538974285125732,0.08354289084672928,0.039527952671051025,0,0.0005887597799301147,0.12220156937837601,hvp,0.07538974285125732
oracle_gap,funnel,0,hybrid,hybrid,False,2,4,4,2,0.03,2,0.9,0.03183042258024216,0.12002842128276825,0.26519071266674954,0.0,0,0.5931826829910278,1.5,3.0,2.0,1.5,14,0,2,0.07395453006029129,2,True,0.1507987454533577,0.030770324170589447,0.12002842128276825,0.006791390478610992,0.0011549219489097595,0.00019282102584838867,0.00040840357542037964,0.07395453006029129,0.08250206708908081,0.03752635419368744,0,0.0006012246012687683,0.11887349933385849,hvp,0.07395453006029129
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,2,4,4,2,0.03,2,0.9,0.03183042258024216,0.04692602902650833,0.6783105930881403,0.0,0,0.25,1.5,3.0,2.0,1.5,14,0,2,0.0,0,True,0.047681890428066254,0.0007558614015579224,0.04692602902650833,0.00772036612033844,0.0007691085338592529,0.0001820698380470276,0.0003958195447921753,0.0,0.009067364037036896,0.037858664989471436,0,0.0005778893828392029,0.04615692049264908,unattributed,0.037858664989471436
oracle_gap,funnel,0,oracle_current,oracle_current (analysis-only upper bound),True,2,4,4,2,0.03,2,0.9,0.03183042258024216,0.04564928263425827,0.6972819887503442,0.0,0,0.0,1.5,3.0,2.0,1.5,14,0,2,0.0,0,True,0.0915553942322731,0.04590611159801483,0.04564928263425827,0.006772667169570923,0.0008044466376304626,0.0001840442419052124,0.0003783032298088074,0.0,0.008139461278915405,0.037509821355342865,0,0.0005623474717140198,0.04484483599662781,unattributed,0.037509821355342865
