source_csv,model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,benchmark,scheduler_mode,scheduler_label,is_analysis_upper_bound,t_mode,padding_ratio,padding_count,mean_predictor_abs_error,mean_bucket_realized_max,mean_sum_bucket_realized_max,mean_global_realized_max,bucket_max_over_global_max,total_leapfrog_count,divergence_count,max_realized_tree_depth,hvp_overhead_seconds,hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
results/raw/eight_schools/tiny_noncentered/summary.csv,eight_schools_noncentered,,noncentered,0,,,history,4,4,10,,,,,,,,,,1,0.02,2,,,0.9,,,4.609620936214924,1.1412833705544472,4.038980199961665,6,0,2,,,,6,0,2,1,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/funnel_ablation/tiny/summary.csv,funnel,,,0,,,none,2,4,4,,,,,,,,,,1,0.03,2,,,0.9,,,4.136995643377304,4.821266457438469,0.8580723923678931,6,0,2,,,,6,0,2,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/funnel_ablation/tiny/summary.csv,funnel,,,0,,,none,4,4,4,,,,,,,,,,1,0.03,2,,,0.9,,,4.136995643377304,1.0733798444271088,3.8541767528580047,6,0,2,,,,6,0,2,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/funnel_ablation/tiny/summary.csv,funnel,,,0,,,random,2,4,4,,,,,,,,,,1,0.03,2,,,0.9,,,4.136995643377304,0.7999626398086548,5.171486063857736,6,0,2,,,,6,0,2,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/funnel_ablation/tiny/summary.csv,funnel,,,0,,,random,4,4,4,,,,,,,,,,1,0.03,2,,,0.9,,,4.136995643377304,0.3430227115750313,12.060413213987424,6,0,2,,,,6,0,2,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/funnel_ablation/tiny/summary.csv,funnel,,,0,,,history,2,4,4,,,,,,,,,,1,0.03,2,,,0.9,,,4.136995643377304,0.6387331113219261,6.47687675814293,6,0,2,,,,6,0,2,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/funnel_ablation/tiny/summary.csv,funnel,,,0,,,history,4,4,4,,,,,,,,,,1,0.03,2,,,0.9,,,4.136995643377304,0.33289115130901337,12.427472545033343,6,0,2,,,,6,0,2,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/gp/tiny/summary.csv,gaussian_process,gaussian_process,log_hyperparameters,0,,,history,2,4,3,,,8,,,squared_exponential,1,37,1e-05,1,0.005,2,,,0.9,,,5.968248583376408,6.8684253841638565,0.8689398587829262,6,0,2,,,,6,0,2,2,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/gp/tiny/summary.csv,gaussian_process,gaussian_process,log_hyperparameters,0,,,history,4,4,3,,,8,,,squared_exponential,1,37,1e-05,1,0.005,2,,,0.9,,,5.968248583376408,1.190337412059307,5.013913301314473,6,0,2,,,,6,0,2,1,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/raw/hier_logistic/tiny/summary.csv,hierarchical_logistic,hierarchical_logistic,noncentered_group_effects,0,,,history,2,4,8,4,3,12,2,,,,,,1,0.015,2,,,0.9,,,6.125850513577461,7.087646164000034,0.8642997085114408,6,0,2,,,,6,0,2,2,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
