source_csv,method,variable,dimension,mean,sd,r_hat,bulk_ess,tail_ess,mcse_mean,divergence_count,max_tree_depth_hit_count,max_realized_tree_depth
results/raw/long_trace/tiny/diagnostics.csv,monolithic,q_0,0,0.00707554817199707,0.14710885286331177,3.150769035661466,12.929071042986441,15.882352941176471,0.0417709103138953,0,13,2
results/raw/long_trace/tiny/diagnostics.csv,monolithic,q_1,1,0.07576269656419754,0.10756544768810272,2.800271332439846,13.042898576766719,17.77777777777778,0.029530785969336042,0,13,2
results/raw/long_trace/tiny/diagnostics.csv,monolithic,q_2,2,0.001247342093847692,0.0581774041056633,1.657718826680394,16.034180656799382,23.478260869565215,0.015385168124494588,0,13,2
results/raw/long_trace/tiny/diagnostics.csv,monolithic,q_3,3,-0.01638956554234028,0.06643268465995789,1.954993487012626,14.36704277644944,17.77777777777778,0.01739919708295221,0,13,2
results/raw/long_trace/tiny/diagnostics.csv,bucketed,q_0,0,0.00707554817199707,0.14710885286331177,3.150769035661466,12.929071042986441,15.882352941176471,0.0417709103138953,0,13,2
results/raw/long_trace/tiny/diagnostics.csv,bucketed,q_1,1,0.07576269656419754,0.10756544768810272,2.800271332439846,13.042898576766719,17.77777777777778,0.029530785969336042,0,13,2
results/raw/long_trace/tiny/diagnostics.csv,bucketed,q_2,2,0.001247342093847692,0.0581774041056633,1.657718826680394,16.034180656799382,23.478260869565215,0.015385168124494588,0,13,2
results/raw/long_trace/tiny/diagnostics.csv,bucketed,q_3,3,-0.01638956554234028,0.06643268465995789,1.954993487012626,14.36704277644944,17.77777777777778,0.01739919708295221,0,13,2
results/raw/trace_qa/tiny/diagnostics.csv,monolithic,q_0,0,0.01529449038207531,0.26715442538261414,2.6931831033770566,115.59551833496877,115.59551833496877,0.0248480249385001,0,11,3
results/raw/trace_qa/tiny/diagnostics.csv,monolithic,q_1,1,0.03192554786801338,0.13758251070976257,1.6133425353276418,115.59551833496877,115.59551833496877,0.01279654511551324,0,11,3
results/raw/trace_qa/tiny/diagnostics.csv,monolithic,q_2,2,-0.04888007044792175,0.2476896494626999,3.199806883693203,115.59551833496877,115.59551833496877,0.023037606725185258,0,11,3
results/raw/trace_qa/tiny/diagnostics.csv,monolithic,q_3,3,-0.011597100645303726,0.13835756480693817,2.0163237776001157,115.59551833496877,115.59551833496877,0.012868632873399805,0,11,3
results/raw/trace_qa/tiny/diagnostics.csv,bucketed,q_0,0,0.01529449038207531,0.26715442538261414,2.6931831033770566,115.59551833496877,115.59551833496877,0.0248480249385001,0,11,3
results/raw/trace_qa/tiny/diagnostics.csv,bucketed,q_1,1,0.03192554786801338,0.13758251070976257,1.6133425353276418,115.59551833496877,115.59551833496877,0.01279654511551324,0,11,3
results/raw/trace_qa/tiny/diagnostics.csv,bucketed,q_2,2,-0.04888007044792175,0.2476896494626999,3.199806883693203,115.59551833496877,115.59551833496877,0.023037606725185258,0,11,3
results/raw/trace_qa/tiny/diagnostics.csv,bucketed,q_3,3,-0.011597100645303726,0.13835756480693817,2.0163237776001157,115.59551833496877,115.59551833496877,0.012868632873399805,0,11,3
