model,model_family,parameterization,seed,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,num_steps,step_size,max_tree_depth,predictor_beta,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count
hierarchical_logistic,hierarchical_logistic,noncentered_group_effects,0,history,2,4,8,4,3,12,2,1,0.015,2,0.9,6.125850513577461,7.087646164000034,0.8642997085114408,6,0,2,6,0,2,2,0,0.0,0.0,0
hierarchical_logistic,hierarchical_logistic,noncentered_group_effects,0,history,4,4,8,4,3,12,2,1,0.015,2,0.9,6.125850513577461,1.165505327284336,5.255960972611669,6,0,2,6,0,2,1,0,0.0,0.0,0
