row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,funnel,0,bucketed,none,64,512,4,14,1.5295992270112038,1.11166300624609,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,15,1.5611887946724892,1.018838256597519,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,16,1.7350437864661217,1.0008684322237968,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,17,1.4950016140937805,1.0653982758522034,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,18,1.5132988914847374,1.0106080323457718,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,19,1.4878514185547829,1.045932061970234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,20,1.7015306055545807,1.0115579143166542,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,21,1.6312264055013657,1.0051675140857697,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,22,1.7198781073093414,1.0205219611525536,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,23,1.7603743523359299,1.0334468856453896,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,24,1.6843902245163918,1.0451246723532677,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,25,1.7761497125029564,0.999073289334774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,26,1.63005892932415,1.0261517688632011,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,27,1.6249312162399292,1.024169348180294,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,28,1.6534012109041214,1.0385425388813019,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,29,1.4520879536867142,0.9882810711860657,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,0,1.6130430474877357,1.1752708405256271,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,1,1.6392775103449821,1.1890087276697159,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,2,1.7104258462786674,1.2606843411922455,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,3,1.6851928308606148,1.1545001938939095,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,4,1.659334808588028,1.206381805241108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,5,1.6832678765058517,1.260070115327835,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,6,1.5512007176876068,1.2572556287050247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,7,1.6714621111750603,1.137234017252922,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,8,1.6454413831233978,1.167175978422165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,9,1.7313129305839539,1.137881062924862,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,10,1.617203839123249,1.2213558703660965,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,11,1.6346101239323616,1.1488689631223679,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,12,1.6386972591280937,1.086995154619217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,13,1.5933320745825768,1.1354252025485039,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,14,1.5269878134131432,1.11166300624609,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,15,1.7052127793431282,1.018838256597519,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,16,1.5367050915956497,1.0008684322237968,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,17,1.5457137376070023,1.0653982758522034,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,18,1.5104579403996468,1.0106080323457718,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,19,1.5520533695816994,1.045932061970234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,20,1.9308745041489601,1.0115579143166542,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,21,1.837882049381733,1.0051675140857697,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,22,1.448092207312584,1.0205219611525536,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,23,1.583692580461502,1.0334468856453896,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,24,1.44154641777277,1.0451246723532677,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,25,1.5759198144078255,0.999073289334774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,26,1.685762882232666,1.0261517688632011,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,27,1.7161626443266869,1.024169348180294,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,28,1.592179149389267,1.0385425388813019,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
