_family,model,method,predictor,bucket_size,num_chains,dimension,seed,num_steps,speedup_vs_monolithic,t_mono,t_bucket,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,mono_total_leapfrog_count,bucket_total_leapfrog_count,mono_divergence_count,bucket_divergence_count,mono_max_realized_tree_depth,bucket_max_realized_tree_depth
chain_scaling,funnel,bucketed,none,256,128,128,2,16,0.9651151324350425,16.253905031830072,16.841415584087372,1,128,0.5,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,none,512,128,128,2,16,0.960503558023985,16.253905031830072,16.92227467149496,1,384,0.75,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,random,128,128,128,2,16,0.964979461686754,16.253905031830072,16.843783393502235,1,0,0.0,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,random,256,128,128,2,16,0.9583115968987863,16.253905031830072,16.9609812553972,1,128,0.5,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,random,512,128,128,2,16,0.9564912262156374,16.253905031830072,16.993260979652405,1,384,0.75,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,history,128,128,128,2,16,0.9355421895694992,16.253905031830072,17.373780908063054,1,0,0.0,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,history,256,128,128,2,16,0.9366427130071348,16.253905031830072,17.353367304429412,1,128,0.5,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,history,512,128,128,2,16,0.9330473002246114,16.253905031830072,17.420236924663186,1,384,0.75,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,128,128,2,16,0.9726362654137745,16.253905031830072,16.711185475811362,1,0,0.0,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,128,128,2,16,0.9853277371615325,16.253905031830072,16.495937766507268,1,128,0.5,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,128,128,2,16,0.9877298210244052,16.253905031830072,16.45582089945674,1,384,0.75,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,128,128,2,16,0.9894507732602636,16.253905031830072,16.42719928175211,1,0,0.0,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,128,128,2,16,0.9870836586229016,16.253905031830072,16.466593170538545,1,128,0.5,6341,6341,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,128,128,2,16,0.9867119079743397,16.253905031830072,16.472797075286508,1,384,0.75,6341,6341,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,256,128,0,16,1.0,16.10157729499042,16.10157729499042,,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,none,128,256,128,0,16,0.4942829584280564,16.10157729499042,32.57562701776624,2,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,none,256,256,128,0,16,0.9830903661225672,16.10157729499042,16.37853227928281,1,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,none,512,256,128,0,16,0.9929997779479217,16.10157729499042,16.21508650109172,1,256,0.5,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,random,128,256,128,0,16,0.48870167170500517,16.10157729499042,32.94766158424318,2,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,random,256,256,128,0,16,0.9771809010027466,16.10157729499042,16.477580843493342,1,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,random,512,256,128,0,16,0.9735291808618333,16.10157729499042,16.539388455450535,1,256,0.5,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,history,128,256,128,0,16,0.49210859297945586,16.10157729499042,32.71956134214997,2,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,history,256,256,128,0,16,0.9874799867280104,16.10157729499042,16.305725190788507,1,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,history,512,256,128,0,16,0.978689460016424,16.10157729499042,16.452182181179523,1,256,0.5,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,256,128,0,16,0.4872927459373288,16.10157729499042,33.04292425699532,2,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,256,128,0,16,0.9740953631503191,16.10157729499042,16.529775116592646,1,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,256,128,0,16,0.9662439177126829,16.10157729499042,16.664091747254133,1,256,0.5,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,256,128,0,16,0.4894345869367124,16.10157729499042,32.89832334034145,2,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,256,128,0,16,0.9778577091905863,16.10157729499042,16.4661761559546,1,0,0.0,12416,12416,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,256,128,0,16,0.9780485532187201,16.10157729499042,16.462963154539466,1,256,0.5,12416,12416,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,256,128,1,16,1.0,16.052433986216784,16.052433986216784,,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,none,128,256,128,1,16,0.48892123638146795,16.052433986216784,32.832351699471474,2,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,none,256,256,128,1,16,0.9929811760359077,16.052433986216784,16.165899589657784,1,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,none,512,256,128,1,16,0.975571579900147,16.052433986216784,16.45438870601356,1,256,0.5,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,random,128,256,128,1,16,0.49015025073422697,16.052433986216784,32.75002708286047,2,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,random,256,256,128,1,16,0.9910990343633663,16.052433986216784,16.19659936055541,1,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,random,512,256,128,1,16,0.9956996166322026,16.052433986216784,16.12176375091076,1,256,0.5,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,history,128,256,128,1,16,0.4998689947795252,16.052433986216784,32.11328198760748,2,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,history,256,256,128,1,16,0.9902434971633783,16.052433986216784,16.210592679679394,1,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,history,512,256,128,1,16,0.9933969892465979,16.052433986216784,16.159132914617658,1,256,0.5,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,hvp,128,256,128,1,16,0.49318085696528713,16.052433986216784,32.54877751134336,2,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,hvp,256,256,128,1,16,0.9657836245801861,16.052433986216784,16.621149476617575,1,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,hvp,512,256,128,1,16,0.9713712526903433,16.052433986216784,16.525539480149746,1,256,0.5,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,128,256,128,1,16,0.49632777431741404,16.052433986216784,32.34240519441664,2,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,256,256,128,1,16,0.9801922559136897,16.052433986216784,16.376821883022785,1,0,0.0,12498,12498,0,0,5,5
chain_scaling,funnel,bucketed,hybrid,512,256,128,1,16,0.9733002914743764,16.052433986216784,16.492786580696702,1,256,0.5,12498,12498,0,0,5,5
chain_scaling,funnel,monolithic,monolithic,0,256,128,2,16,1.0,15.675768312066793,15.675768312066793,,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,none,128,256,128,2,16,0.48907986556139554,15.675768312066793,32.05155111849308,2,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,none,256,256,128,2,16,0.9749681652487943,15.675768312066793,16.078236060217023,1,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,none,512,256,128,2,16,0.9688898235347363,15.675768312066793,16.17910306341946,1,256,0.5,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,random,128,256,128,2,16,0.4848648927224062,15.675768312066793,32.33017805032432,2,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,random,256,256,128,2,16,0.9696500986009691,15.675768312066793,16.1664174888283,1,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,random,512,256,128,2,16,0.9695675198893968,15.675768312066793,16.167794393375516,1,256,0.5,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,history,128,256,128,2,16,0.48355480782790566,15.675768312066793,32.41776952333748,2,0,0.0,12010,12010,0,0,5,5
chain_scaling,funnel,bucketed,history,256,256,128,2,16,0.9744626539926203,15.675768312066793,16.08657678961754,1,0,0.0,12010,12010,0,0,5,5
