model,seed,predictor,bucket_size,num_chains,dimension,num_steps,step_size,max_tree_depth,predictor_beta,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio
funnel,0,history,4,8,4,1,0.03,2,0.9,3.8320190757513046,4.8493747636675835,0.7902088954768981,14,0,2,14,0,2,2,0,0.0
funnel,0,history,4,8,8,1,0.03,2,0.9,1.1918312087655067,1.6648939028382301,0.7158601558536137,14,0,2,14,0,2,2,0,0.0
