benchmark,model,seed,scheduler_mode,scheduler_label,is_analysis_upper_bound,bucket_size,num_chains,dimension,num_steps,step_size,max_tree_depth,predictor_beta,t_mono,t_mode,speedup,padding_ratio,padding_count,mean_predictor_abs_error,mean_bucket_realized_max,mean_sum_bucket_realized_max,mean_global_realized_max,bucket_max_over_global_max,total_leapfrog_count,divergence_count,max_realized_tree_depth,executed_lane_steps,monolithic_executed_lane_steps,executed_work_ratio,oracle_plan_executed_lane_steps,oracle_plan_executed_work_ratio,hvp_overhead_seconds,hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count,timing_gather_scatter_seconds,timing_non_executor_overhead_seconds,timing_dominant_warm_component,timing_dominant_warm_component_seconds
oracle_gap,funnel,0,monolithic,monolithic,False,0,512,32,8,0.03,8,0.9,1.3153796792030334,1.3153796792030334,1.0,0.0,0,0.0,7.5,7.5,7.5,1.0,241464,0,8,815104,815104,1.0,815104,1.0,0.0,0,True,4.682449735701084,3.3670700564980507,1.3153796792030334,0.0,1.3153796792030334,0.0,0.0,0.0,1.3153796792030334,0.0,0,0.0,0.0,executor,1.3153796792030334
oracle_gap,funnel,0,history,history,False,64,512,32,8,0.03,8,0.9,1.3153796792030334,1.0690447986125946,1.2304252178300965,0.0,0,3.4598225576337427,6.828125,54.625,7.5,7.283333333333333,241464,0,8,497664,815104,0.6105527638190955,309248,0.3793969849246231,0.0,0,True,3.603550225496292,2.5345054268836975,1.0690447986125946,0.029558002948760986,0.9679001048207283,0.0014425888657569885,0.007889732718467712,0.0,1.006790429353714,0.062254369258880615,0,0.009332321584224701,0.1011446937918663,executor,0.9679001048207283
oracle_gap,funnel,0,history,history,False,128,512,32,8,0.03,8,0.9,1.3153796792030334,1.105145238339901,1.19023240889038,0.0,0,3.4598225576337427,6.96875,27.875,7.5,3.716666666666667,241464,0,8,548864,815104,0.6733668341708543,376832,0.4623115577889447,0.0,0,True,3.2901423946022987,2.1849971562623978,1.105145238339901,0.0338188111782074,0.9935089275240898,0.0020526349544525146,0.009119734168052673,0.0,1.0385001078248024,0.06664513051509857,0,0.011172369122505188,0.11163631081581116,executor,0.9935089275240898
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,512,32,8,0.03,8,0.9,1.3153796792030334,1.1352199390530586,1.1587002958213144,0.0,0,0.848388671875,6.828125,54.625,7.5,7.283333333333333,241464,0,8,497664,815104,0.6105527638190955,309248,0.3793969849246231,0.0,0,True,1.2427831068634987,0.10756316781044006,1.1352199390530586,0.03732560575008392,1.3114349320530891,0.001787424087524414,0.009889453649520874,0.0,1.3604374155402184,0.0,0,0.011676877737045288,0.04900248348712921,executor,1.3114349320530891
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,128,512,32,8,0.03,8,0.9,1.3153796792030334,1.1842583417892456,1.110720214320536,0.0,0,0.848388671875,6.96875,27.875,7.5,3.716666666666667,241464,0,8,548864,815104,0.6733668341708543,376832,0.4623115577889447,0.0,0,True,1.4396777749061584,0.25541943311691284,1.1842583417892456,0.03360168635845184,1.0706217288970947,0.0021217763423919678,0.010772168636322021,0.0,1.1171173602342606,0.06714098155498505,0,0.01289394497871399,0.11363661289215088,executor,1.0706217288970947
oracle_gap,funnel,0,oracle_current,oracle_current (analysis-only upper bound),True,64,512,32,8,0.03,8,0.9,1.3153796792030334,0.8814939484000206,1.4922163465677205,0.0,0,0.0,6.0,48.0,7.5,6.4,241464,0,8,309248,815104,0.3793969849246231,309248,0.3793969849246231,0.0,0,True,0.9982167258858681,0.11672277748584747,0.8814939484000206,0.037828683853149414,0.7412486597895622,0.001743614673614502,0.008912108838558197,0.0,0.7897330671548843,0.09176088124513626,0,0.010655723512172699,0.14024528861045837,executor,0.7412486597895622
oracle_gap,funnel,0,oracle_current,oracle_current (analysis-only upper bound),True,128,512,32,8,0.03,8,0.9,1.3153796792030334,0.8162262886762619,1.6115379980425375,0.0,0,0.0,6.21875,24.875,7.5,3.316666666666667,241464,0,8,376832,815104,0.4623115577889447,376832,0.4623115577889447,0.0,0,True,0.8218512833118439,0.00562499463558197,0.8162262886762619,0.035244621336460114,0.6955344378948212,0.0021347180008888245,0.009596176445484161,0.0,0.7425099536776543,0.07371633499860764,0,0.011730894446372986,0.12069185078144073,executor,0.6955344378948212
