replicate,method,true_parameter,rank,num_posterior_samples,posterior_mean,posterior_sd,divergence_count,max_tree_depth_hit_count,data_mean
0,bucketed,0.9417154046806644,4,4,-0.05388659983873367,0.06675199419260025,0,2,0.2611809348039189
0,monolithic,0.9417154046806644,4,4,-0.05388659983873367,0.06675199419260025,0,2,0.2611809348039189
1,bucketed,0.06947950139870138,4,4,-0.028132762759923935,0.03232881426811218,0,2,0.21096645029538208
1,monolithic,0.06947950139870138,4,4,-0.028132762759923935,0.03232881426811218,0,2,0.21096645029538208
