benchmark,model,seed,scheduler_mode,scheduler_label,is_analysis_upper_bound,bucket_size,num_chains,dimension,num_steps,step_size,max_tree_depth,predictor_beta,t_mono,t_mode,speedup,padding_ratio,padding_count,mean_predictor_abs_error,mean_bucket_realized_max,mean_sum_bucket_realized_max,mean_global_realized_max,bucket_max_over_global_max,total_leapfrog_count,divergence_count,max_realized_tree_depth,executed_lane_steps,monolithic_executed_lane_steps,executed_work_ratio,oracle_plan_executed_lane_steps,oracle_plan_executed_work_ratio,hvp_overhead_seconds,hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count,timing_gather_scatter_seconds,timing_non_executor_overhead_seconds,timing_dominant_warm_component,timing_dominant_warm_component_seconds
oracle_gap,funnel,0,history,history,False,64,512,32,16,0.2,8,0.9,0.7467111796140671,0.7340511381626129,1.0172468112823083,0.0,0,1.2843352701165713,4.3203125,34.5625,5.1875,6.662650602409639,89756,0,6,175104,331776,0.5277777777777778,115200,0.3472222222222222,0.0,0,True,3.300711505115032,2.5666603669524193,0.7340511381626129,0.07049041986465454,0.5528010278940201,0.003987021744251251,0.021340258419513702,0.0,0.6486187279224396,0.08543241024017334,0,0.025327280163764954,0.18125011026859283,executor,0.5528010278940201
oracle_gap,funnel,0,history,history,False,128,512,32,16,0.2,8,0.9,0.7467111796140671,0.7378795519471169,1.0119689285922686,0.0,0,1.2843352701165713,4.4375,17.75,5.1875,3.4216867469879517,89756,0,6,196608,331776,0.5925925925925926,146432,0.44135802469135804,0.0,0,True,3.037370353937149,2.299490801990032,0.7378795519471169,0.06948038935661316,0.5278615802526474,0.004875645041465759,0.02124280482530594,0.0,0.6234604194760323,0.1144191324710846,0,0.026118449866771698,0.21001797169446945,executor,0.5278615802526474
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,512,32,16,0.2,8,0.9,0.7467111796140671,0.7754129394888878,0.9629851935489503,0.0,0,0.3052978515625,4.359375,34.875,5.1875,6.72289156626506,89756,0,6,180224,331776,0.5432098765432098,115200,0.3472222222222222,0.0,0,True,0.7609009966254234,0.0,0.7754129394888878,0.07190875709056854,0.6060318425297737,0.004080191254615784,0.019404321908950806,0.0,0.7014251127839088,0.07398782670497894,0,0.02348451316356659,0.16938109695911407,executor,0.6060318425297737
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,128,512,32,16,0.2,8,0.9,0.7467111796140671,0.7428035885095596,1.0052605980436202,0.0,0,0.3052978515625,4.453125,17.8125,5.1875,3.433734939759036,89756,0,6,198656,331776,0.5987654320987654,146432,0.44135802469135804,0.0,0,True,0.7924991697072983,0.04969558119773865,0.7428035885095596,0.07432220876216888,0.5348231196403503,0.0037150830030441284,0.02020174264907837,0.0,0.6330621540546417,0.10974143445491791,0,0.023916825652122498,0.2079804688692093,executor,0.5348231196403503
oracle_gap,funnel,0,oracle_current,oracle_current (analysis-only upper bound),True,64,512,32,16,0.2,8,0.9,0.7467111796140671,0.6348493099212646,1.176202238774861,0.0,0,0.0,3.6328125,29.0625,5.1875,5.602409638554217,89756,0,6,115200,331776,0.3472222222222222,115200,0.3472222222222222,0.0,0,True,0.6556002274155617,0.020750917494297028,0.6348493099212646,0.07270073145627975,0.47136279195547104,0.004211403429508209,0.022893644869327545,0.0,0.5711685717105865,0.0636807382106781,0,0.027105048298835754,0.1634865179657936,executor,0.47136279195547104
oracle_gap,funnel,0,oracle_current,oracle_current (analysis-only upper bound),True,128,512,32,16,0.2,8,0.9,0.7467111796140671,0.5797833576798439,1.2879141315856821,0.0,0,0.0,3.859375,15.4375,5.1875,2.9759036144578315,89756,0,6,146432,331776,0.44135802469135804,146432,0.44135802469135804,0.0,0,True,0.6614787578582764,0.08169540017843246,0.5797833576798439,0.0777459666132927,0.4469812214374542,0.004466108977794647,0.01983559876680374,0.0,0.5490288957953453,0.030754461884498596,0,0.02430170774459839,0.13280213624238968,executor,0.4469812214374542
oracle_gap,funnel,1,history,history,False,64,512,32,16,0.2,8,0.9,0.8106152787804604,0.6743906661868095,1.2019965865837117,0.0,0,1.2875288352224743,4.3359375,34.6875,5.1875,6.686746987951807,89140,0,6,177152,331776,0.5339506172839507,115200,0.3472222222222222,0.0,0,True,0.8364313840866089,0.16204071789979935,0.6743906661868095,0.06855706870555878,0.5936140939593315,0.003941260278224945,0.021018750965595245,0.0,0.6871311739087105,0.0,0,0.02496001124382019,0.09351707994937897,executor,0.5936140939593315
oracle_gap,funnel,1,history,history,False,128,512,32,16,0.2,8,0.9,0.8106152787804604,0.6871817782521248,1.179622778767932,0.0,0,1.2875288352224743,4.46875,17.875,5.1875,3.4457831325301207,89140,0,6,200704,331776,0.6049382716049383,146432,0.44135802469135804,0.0,0,True,0.7169635370373726,0.029781758785247803,0.6871817782521248,0.06814254075288773,0.4970126450061798,0.0033742859959602356,0.01708395779132843,0.0,0.5856134295463562,0.10156834870576859,0,0.020458243787288666,0.19016913324594498,executor,0.4970126450061798
oracle_gap,funnel,1,oracle_previous,oracle_previous,False,64,512,32,16,0.2,8,0.9,0.8106152787804604,0.7947584241628647,1.0199517918093137,0.0,0,0.305419921875,4.3671875,34.9375,5.1875,6.734939759036145,89140,0,6,181248,331776,0.5462962962962963,115200,0.3472222222222222,0.0,0,True,0.7455110475420952,0.0,0.7947584241628647,0.07282558083534241,0.5922827795147896,0.0038470402359962463,0.02094842493534088,0.0,0.6899038255214691,0.10485459864139557,0,0.024795465171337128,0.2024756446480751,executor,0.5922827795147896
oracle_gap,funnel,1,oracle_previous,oracle_previous,False,128,512,32,16,0.2,8,0.9,0.8106152787804604,0.700298085808754,1.157528908342373,0.0,0,0.305419921875,4.46875,17.875,5.1875,3.4457831325301207,89140,0,6,200704,331776,0.6049382716049383,146432,0.44135802469135804,0.0,0,True,0.7202875763177872,0.019989490509033203,0.700298085808754,0.07194063067436218,0.5244012996554375,0.0034257471561431885,0.01869206130504608,0.0,0.6184597387909889,0.08183834701776505,0,0.02211780846118927,0.1758967861533165,executor,0.5244012996554375
oracle_gap,funnel,1,oracle_current,oracle_current (analysis-only upper bound),True,64,512,32,16,0.2,8,0.9,0.8106152787804604,0.5402499213814735,1.5004449731480485,0.0,0,0.0,3.6328125,29.0625,5.1875,5.602409638554217,89140,0,6,115200,331776,0.3472222222222222,115200,0.3472222222222222,0.0,0,True,0.560750350356102,0.02050042897462845,0.5402499213814735,0.07261441648006439,0.37636709958314896,0.0036794617772102356,0.019971594214439392,0.0,0.472632572054863,0.06761734932661057,0,0.023651055991649628,0.16388282179832458,executor,0.37636709958314896
oracle_gap,funnel,1,oracle_current,oracle_current (analysis-only upper bound),True,128,512,32,16,0.2,8,0.9,0.8106152787804604,0.5598198771476746,1.447993027526296,0.0,0,0.0,3.859375,15.4375,5.1875,2.9759036144578315,89140,0,6,146432,331776,0.44135802469135804,146432,0.44135802469135804,0.0,0,True,0.6027458384633064,0.042925961315631866,0.5598198771476746,0.07804176211357117,0.37491539120674133,0.003857739269733429,0.019093573093414307,0.0,0.47590846568346024,0.08391141146421432,0,0.022951312363147736,0.18490448594093323,executor,0.37491539120674133
oracle_gap,funnel,2,history,history,False,64,512,32,16,0.2,8,0.9,0.7484618499875069,0.6433102861046791,1.163453882448442,0.0,0,1.285886229321477,4.328125,34.625,5.1875,6.674698795180723,89604,0,6,177408,331776,0.5347222222222222,114176,0.3441358024691358,0.0,0,True,0.6721290051937103,0.02881871908903122,0.6433102861046791,0.06324207037687302,0.46287310868501663,0.0031536146998405457,0.01669231802225113,0.0,0.5459611117839813,0.09734917432069778,0,0.019845932722091675,0.18043717741966248,executor,0.46287310868501663
