benchmark,model,seed,scheduler_mode,scheduler_label,is_analysis_upper_bound,bucket_size,speedup,realized_depth_mean,realized_depth_std,realized_depth_cv,realized_depth_gini,realized_depth_range,bucket_max_over_global_max
oracle_gap,funnel,0,history,history,False,64,1.0172468112823083,3.4327392578125,0.6445136674736903,0.18775491497259952,0.08444501149622197,3.1875,6.662650602409639
oracle_gap,funnel,0,history,history,False,128,1.0119689285922686,3.4327392578125,0.6445136674736903,0.18775491497259952,0.08444501149622197,3.1875,3.4216867469879517
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0.9629851935489503,3.4327392578125,0.6445136674736903,0.18775491497259952,0.08444501149622197,3.1875,6.72289156626506
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,128,1.0052605980436202,3.4327392578125,0.6445136674736903,0.18775491497259952,0.08444501149622197,3.1875,3.433734939759036
oracle_gap,funnel,0,oracle_current,oracle_current (analysis-only upper bound),True,64,1.176202238774861,3.4327392578125,0.6445136674736903,0.18775491497259952,0.08444501149622197,3.1875,5.602409638554217
oracle_gap,funnel,0,oracle_current,oracle_current (analysis-only upper bound),True,128,1.2879141315856821,3.4327392578125,0.6445136674736903,0.18775491497259952,0.08444501149622197,3.1875,2.9759036144578315
oracle_gap,funnel,1,history,history,False,64,1.2019965865837117,3.4324951171875,0.6324429669317785,0.1842516727161396,0.08238980609599092,3.1875,6.686746987951807
oracle_gap,funnel,1,history,history,False,128,1.179622778767932,3.4324951171875,0.6324429669317785,0.1842516727161396,0.08238980609599092,3.1875,3.4457831325301207
oracle_gap,funnel,1,oracle_previous,oracle_previous,False,64,1.0199517918093137,3.4324951171875,0.6324429669317785,0.1842516727161396,0.08238980609599092,3.1875,6.734939759036145
oracle_gap,funnel,1,oracle_previous,oracle_previous,False,128,1.157528908342373,3.4324951171875,0.6324429669317785,0.1842516727161396,0.08238980609599092,3.1875,3.4457831325301207
oracle_gap,funnel,1,oracle_current,oracle_current (analysis-only upper bound),True,64,1.5004449731480485,3.4324951171875,0.6324429669317785,0.1842516727161396,0.08238980609599092,3.1875,5.602409638554217
oracle_gap,funnel,1,oracle_current,oracle_current (analysis-only upper bound),True,128,1.447993027526296,3.4324951171875,0.6324429669317785,0.1842516727161396,0.08238980609599092,3.1875,2.9759036144578315
oracle_gap,funnel,2,history,history,False,64,1.163453882448442,3.4361572265625,0.6351336893952391,0.1848383666746882,0.08318785155639302,3.1875,6.674698795180723
oracle_gap,funnel,2,history,history,False,128,1.0802670009986062,3.4361572265625,0.6351336893952391,0.1848383666746882,0.08318785155639302,3.1875,3.4216867469879517
oracle_gap,funnel,2,oracle_previous,oracle_previous,False,64,1.0182793361429507,3.4361572265625,0.6351336893952391,0.1848383666746882,0.08318785155639302,3.1875,6.734939759036145
oracle_gap,funnel,2,oracle_previous,oracle_previous,False,128,1.0399983530944912,3.4361572265625,0.6351336893952391,0.1848383666746882,0.08318785155639302,3.1875,3.4457831325301207
oracle_gap,funnel,2,oracle_current,oracle_current (analysis-only upper bound),True,64,1.3257786785507462,3.4361572265625,0.6351336893952391,0.1848383666746882,0.08318785155639302,3.1875,5.578313253012048
oracle_gap,funnel,2,oracle_current,oracle_current (analysis-only upper bound),True,128,1.146507257974667,3.4361572265625,0.6351336893952391,0.1848383666746882,0.08318785155639302,3.1875,2.9518072289156625
oracle_gap,funnel,3,history,history,False,64,1.1732230486167103,3.455078125,0.6367517006427893,0.1842944436004003,0.08205256688628876,3.3125,6.564705882352941
oracle_gap,funnel,3,history,history,False,128,1.2171669307090485,3.455078125,0.6367517006427893,0.1842944436004003,0.08205256688628876,3.3125,3.388235294117647
oracle_gap,funnel,3,oracle_previous,oracle_previous,False,64,1.1420630202053246,3.455078125,0.6367517006427893,0.1842944436004003,0.08205256688628876,3.3125,6.635294117647059
oracle_gap,funnel,3,oracle_previous,oracle_previous,False,128,1.2269612610984795,3.455078125,0.6367517006427893,0.1842944436004003,0.08205256688628876,3.3125,3.4352941176470586
oracle_gap,funnel,3,oracle_current,oracle_current (analysis-only upper bound),True,64,1.4929225725871187,3.455078125,0.6367517006427893,0.1842944436004003,0.08205256688628876,3.3125,5.5058823529411764
oracle_gap,funnel,3,oracle_current,oracle_current (analysis-only upper bound),True,128,1.481559320999094,3.455078125,0.6367517006427893,0.1842944436004003,0.08205256688628876,3.3125,2.9411764705882355
oracle_gap,funnel,4,history,history,False,64,1.3184046626367647,3.4228515625,0.6584081132483929,0.19235660712306826,0.08585690629883555,3.625,6.340909090909091
oracle_gap,funnel,4,history,history,False,128,1.3179740633474117,3.4228515625,0.6584081132483929,0.19235660712306826,0.08585690629883555,3.625,3.284090909090909
oracle_gap,funnel,4,oracle_previous,oracle_previous,False,64,1.3203568999387705,3.4228515625,0.6584081132483929,0.19235660712306826,0.08585690629883555,3.625,6.3977272727272725
oracle_gap,funnel,4,oracle_previous,oracle_previous,False,128,1.3251412407050058,3.4228515625,0.6584081132483929,0.19235660712306826,0.08585690629883555,3.625,3.2954545454545454
oracle_gap,funnel,4,oracle_current,oracle_current (analysis-only upper bound),True,64,1.6331584978593956,3.4228515625,0.6584081132483929,0.19235660712306826,0.08585690629883555,3.625,5.295454545454546
oracle_gap,funnel,4,oracle_current,oracle_current (analysis-only upper bound),True,128,1.4934340971589386,3.4228515625,0.6584081132483929,0.19235660712306826,0.08585690629883555,3.625,2.8181818181818183
