row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,hierarchical_logistic,0,bucketed,none,64,512,8,5,0.4446152225136757,0.372003436088562,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,6,0.4541151896119118,0.37329865247011185,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,7,0.47306761145591736,0.39223887026309967,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,8,0.4577358216047287,0.40269316732883453,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,9,0.5236403793096542,0.44710562378168106,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,10,0.4862043187022209,0.39853040874004364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,11,0.5109209194779396,0.37792593985795975,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,12,0.4424637630581856,0.3923467695713043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,13,0.5062449350953102,0.4180985987186432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,14,0.4696791395545006,0.4086679667234421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,15,0.467837393283844,0.3825620263814926,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,16,0.4652179926633835,0.390786275267601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,17,0.4533582180738449,0.43980687111616135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,18,0.48510778695344925,0.45451363921165466,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,19,0.4976743012666702,0.4304448217153549,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,20,0.5103695839643478,0.3850673586130142,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,21,0.51509178429842,0.4614995867013931,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,22,0.5079833269119263,0.42946500331163406,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,23,0.4771331697702408,0.41105320304632187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,24,0.47587546706199646,0.46868230402469635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,25,0.4930786192417145,0.46455902606248856,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,26,0.5869596600532532,0.40300196409225464,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,27,0.6360622197389603,0.408950999379158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,28,0.7080550268292427,0.4499886706471443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,29,0.5186374932527542,0.4151429757475853,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,0,3.8220499828457832,5.764811716973782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,1,0.5647332221269608,0.4543246030807495,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,2,0.6127813085913658,0.42522673308849335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,3,0.7894577980041504,0.3914412707090378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,4,0.6650846973061562,0.4041844829916954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,5,0.5539079457521439,0.372003436088562,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,6,0.745912067592144,0.37329865247011185,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,7,0.7021868675947189,0.39223887026309967,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,8,0.6382645964622498,0.40269316732883453,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,9,0.5815146937966347,0.44710562378168106,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,10,0.5454447790980339,0.39853040874004364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,11,0.485835537314415,0.37792593985795975,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,12,0.5027741938829422,0.3923467695713043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,13,0.46580231934785843,0.4180985987186432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,14,0.4630599170923233,0.4086679667234421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,15,0.5428156182169914,0.3825620263814926,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,16,0.4803207963705063,0.390786275267601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,17,0.4743569418787956,0.43980687111616135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,18,0.48474691063165665,0.45451363921165466,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,19,0.4743744879961014,0.4304448217153549,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,20,0.4712313339114189,0.3850673586130142,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,21,0.4963250160217285,0.4614995867013931,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,22,0.45228416472673416,0.42946500331163406,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,23,0.47088155150413513,0.41105320304632187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,24,0.4430616945028305,0.46868230402469635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,25,0.49554111808538437,0.46455902606248856,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,26,0.46697746962308884,0.40300196409225464,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,27,0.4452618584036827,0.408950999379158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,28,0.4409158453345299,0.4499886706471443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,hierarchical_logistic,0,bucketed,none,128,512,8,29,0.47336000949144363,0.4151429757475853,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,0,0.4492902010679245,5.764811716973782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,1,0.4411805123090744,0.4543246030807495,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,2,0.4489417001605034,0.42522673308849335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,3,0.43797407299280167,0.3914412707090378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,4,0.45167914777994156,0.4041844829916954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,5,0.45347070693969727,0.372003436088562,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,6,0.4558020979166031,0.37329865247011185,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,7,0.45435407757759094,0.39223887026309967,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,8,0.4758502021431923,0.40269316732883453,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,9,0.45852889865636826,0.44710562378168106,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,10,0.4541269615292549,0.39853040874004364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,11,0.4451889246702194,0.37792593985795975,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,12,0.44644422829151154,0.3923467695713043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,13,0.4703262373805046,0.4180985987186432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,14,0.43532223254442215,0.4086679667234421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,15,0.43292513489723206,0.3825620263814926,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,16,0.4286053031682968,0.390786275267601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,17,0.4496297314763069,0.43980687111616135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,18,0.44807515293359756,0.45451363921165466,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,19,0.465313658118248,0.4304448217153549,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,20,0.4732108861207962,0.3850673586130142,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,21,0.47687574476003647,0.4614995867013931,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,22,0.4619000107049942,0.42946500331163406,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,23,0.46120256185531616,0.41105320304632187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,24,0.49810122698545456,0.46868230402469635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,25,0.4769095927476883,0.46455902606248856,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,26,0.46911388635635376,0.40300196409225464,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,27,0.476809598505497,0.408950999379158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,28,0.4764822646975517,0.4499886706471443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,hierarchical_logistic,0,bucketed,history,64,512,8,29,0.47641003876924515,0.4151429757475853,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,0,0.5342740714550018,5.764811716973782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,1,0.545667976140976,0.4543246030807495,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,2,0.5365822687745094,0.42522673308849335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,3,0.5397559180855751,0.3914412707090378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,4,0.5300185009837151,0.4041844829916954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,5,0.500207208096981,0.372003436088562,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,6,0.5387307479977608,0.37329865247011185,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,7,0.5155170410871506,0.39223887026309967,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,8,0.49398092180490494,0.40269316732883453,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,9,0.5022333487868309,0.44710562378168106,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,10,0.5221929177641869,0.39853040874004364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,11,0.5528304055333138,0.37792593985795975,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,12,0.5171787217259407,0.3923467695713043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,13,0.5130928084254265,0.4180985987186432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,14,0.5048037320375443,0.4086679667234421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,15,0.5478315949440002,0.3825620263814926,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,16,0.5491898655891418,0.390786275267601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,17,0.5730894654989243,0.43980687111616135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,18,0.5802824571728706,0.45451363921165466,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,19,0.520303264260292,0.4304448217153549,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,20,0.5010584592819214,0.3850673586130142,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,21,0.5302775651216507,0.4614995867013931,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,22,0.5055364817380905,0.42946500331163406,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,23,0.5068150237202644,0.41105320304632187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,24,0.487923301756382,0.46868230402469635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,25,0.4639516696333885,0.46455902606248856,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,26,0.4895579367876053,0.40300196409225464,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,27,0.512111060321331,0.408950999379158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,28,0.5283617675304413,0.4499886706471443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,29,0.5148178115487099,0.4151429757475853,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,0,0.545722708106041,5.764811716973782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,1,0.4717494547367096,0.4543246030807495,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,2,0.46221231669187546,0.42522673308849335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,3,0.4381297081708908,0.3914412707090378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,4,0.43170730769634247,0.4041844829916954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,5,0.45954225957393646,0.372003436088562,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,6,0.4597114622592926,0.37329865247011185,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,7,0.4351041540503502,0.39223887026309967,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,8,0.4351108521223068,0.40269316732883453,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,9,0.4625158905982971,0.44710562378168106,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,10,0.43915780633687973,0.39853040874004364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,11,0.4582013264298439,0.37792593985795975,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,12,0.4759359359741211,0.3923467695713043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,13,0.44315335899591446,0.4180985987186432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,14,0.5108618959784508,0.4086679667234421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,15,0.4976159930229187,0.3825620263814926,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,16,0.48254161328077316,0.390786275267601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,17,0.4574449434876442,0.43980687111616135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,18,0.45636293292045593,0.45451363921165466,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,19,0.4366464167833328,0.4304448217153549,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
