row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,eight_schools_centered,0,bucketed,none,64,512,10,10,1.8936128243803978,1.9250566065311432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,11,1.8818872421979904,1.9359266012907028,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,12,1.8512819707393646,1.910935364663601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,13,1.8713660165667534,1.8919311687350273,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,14,1.8695368319749832,1.8886633589863777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,15,1.8721635416150093,1.9545903131365776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,16,2.0268682911992073,1.8915774747729301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,17,1.9742056503891945,1.9287863373756409,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,18,1.9921699687838554,1.956614799797535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,19,2.170619823038578,1.9041771441698074,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,20,2.1287230253219604,1.8726266995072365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,21,2.0556891560554504,1.9650556817650795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,22,2.0166742503643036,1.8695087134838104,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,23,1.866630531847477,1.8976451754570007,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,24,1.9425751119852066,1.8923601806163788,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,25,1.9192674979567528,1.894813895225525,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,26,1.9622452333569527,1.9159119948744774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,27,2.13143839687109,2.023951657116413,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,28,1.8957307040691376,2.2047670111060143,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_centered,0,bucketed,none,64,512,10,29,1.8037003949284554,1.9401726871728897,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,0,1.76390840113163,1.9096629992127419,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,1,1.7735769972205162,1.9111573994159698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,2,1.7488732561469078,1.9430657252669334,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,3,1.730378471314907,1.8961446657776833,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,4,1.7570717111229897,1.91951934248209,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,5,1.771757461130619,1.8692869767546654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,6,1.739946074783802,1.9063723012804985,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,7,1.7675293609499931,1.899858683347702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,8,1.7200494706630707,1.933768354356289,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,9,1.730087049305439,1.9129450246691704,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,10,1.733395166695118,1.9250566065311432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,11,1.7537707388401031,1.9359266012907028,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,12,1.7292167395353317,1.910935364663601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,13,1.742389976978302,1.8919311687350273,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,14,1.732908844947815,1.8886633589863777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,15,1.717973105609417,1.9545903131365776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,16,1.763613298535347,1.8915774747729301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,17,1.7226307466626167,1.9287863373756409,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,18,1.7404383644461632,1.956614799797535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,19,1.781287096440792,1.9041771441698074,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,20,1.7639516294002533,1.8726266995072365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,21,1.7434642612934113,1.9650556817650795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,22,1.781601719558239,1.8695087134838104,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,23,1.7376321703195572,1.8976451754570007,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,24,1.741449013352394,1.8923601806163788,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,25,1.750564731657505,1.894813895225525,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,26,1.8013405725359917,1.9159119948744774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,27,1.8094890043139458,2.023951657116413,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,28,1.8013438433408737,2.2047670111060143,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_centered,0,bucketed,none,128,512,10,29,1.7553280517458916,1.9401726871728897,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,0,1.7912019938230515,1.9096629992127419,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
