model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
funnel,,,0,monolithic,nuts_reference,monolithic,0,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.1446576789021492,1.0,0.1446576789021492,0.1446576789021492,1.0,27621,0,5,27621,0,5,27621,0,5,,0,0.0,0.0,0,True,3.1243670731782913,2.979709394276142,0.1446576789021492,0.0,0.1446576789021492,0.0,0.0,0.0,0.1446576789021492,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,32,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.22083920240402222,0.6550362314635606,0.1446576789021492,0.22083920240402222,0.6550362314635606,27621,0,5,27621,0,5,27621,0,5,4,0,0.0,0.0,0,True,2.664119206368923,2.443280003964901,0.22083920240402222,0.02702782303094864,0.13084301352500916,0.00126638263463974,0.0038574039936065674,0.0,0.1629946231842041,0.057844579219818115,0
funnel,,,0,bucketed,bucketed_nuts,history,64,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.19737668335437775,0.7329015588048219,0.1446576789021492,0.19737668335437775,0.7329015588048219,27621,0,5,27621,0,5,27621,0,5,2,0,0.0,0.0,0,True,2.089799128472805,1.8924224451184273,0.19737668335437775,0.026073500514030457,0.11097452789545059,0.0012282580137252808,0.003539048135280609,0.0,0.14181533455848694,0.05556134879589081,0
funnel,,,0,bucketed,bucketed_nuts,history,128,128,128,,,,,,,,,,8,0.03,5,,,0.9,0.19003859907388687,0.761201564351179,0.1446576789021492,0.19003859907388687,0.761201564351179,27621,0,5,27621,0,5,27621,0,5,1,0,0.0,0.0,0,True,2.1547737270593643,1.9647351279854774,0.19003859907388687,0.027439825236797333,0.11486438661813736,0.0015680566430091858,0.003966964781284332,0.0,0.1478392332792282,0.04219936579465866,0
