model,model_family,parameterization,seed,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,num_steps,step_size,max_tree_depth,predictor_beta,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count
stochastic_volatility,stochastic_volatility,,0,history,2,4,6,,,6,,6,1,0.01,2,0.9,4.791454538702965,5.600429967045784,0.85555119283644,6,0,2,6,0,2,2,0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,0,history,4,4,6,,,6,,6,1,0.01,2,0.9,4.791454538702965,1.0511465072631836,4.55831276191768,6,0,2,6,0,2,1,0,0.0,0.0,0
