row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,funnel,0,bucketed,none,64,512,4,14,1.7380485832691193,1.1709498837590218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,15,1.8384870737791061,1.152604602277279,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,16,1.8466394171118736,1.0969994962215424,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,17,2.023105025291443,1.1396895945072174,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,18,2.2203545421361923,1.1560478210449219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,19,2.4756243526935577,1.1923077777028084,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,20,2.102121278643608,1.1879411488771439,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,21,1.9905264228582382,1.3426483049988747,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,22,1.9701162800192833,1.2575353533029556,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,23,1.9482960179448128,1.2139033898711205,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,24,2.1615983843803406,1.2461310476064682,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,25,1.7938761338591576,1.13908152282238,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,26,1.728547342121601,1.1268511936068535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,27,1.8124783113598824,1.213769368827343,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,28,1.8943238332867622,1.1329900547862053,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,none,64,512,4,29,2.228400908410549,1.1328783109784126,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,0,4.191789798438549,5.516673177480698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,1,1.8905158787965775,1.5464336723089218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,2,1.8801410347223282,1.2873298302292824,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,3,1.8623064756393433,1.146246425807476,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,4,1.6088583916425705,1.126074455678463,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,5,1.8120774403214455,1.1261163130402565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,6,1.8151377066969872,1.3017523363232613,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,7,1.7303686141967773,1.1973343789577484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,8,1.846537671983242,1.22721466422081,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,9,1.735251322388649,1.197967290878296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,10,1.6567427143454552,1.3669117912650108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,11,1.8367606699466705,1.2144282907247543,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,12,1.8817748576402664,1.0690568834543228,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,13,1.844419926404953,1.060584895312786,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,14,1.7970296517014503,1.1709498837590218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,15,1.6807824596762657,1.152604602277279,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,16,1.5780876502394676,1.0969994962215424,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,17,1.8866229355335236,1.1396895945072174,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,18,1.7360473424196243,1.1560478210449219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,19,1.7280270904302597,1.1923077777028084,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,20,1.7708096355199814,1.1879411488771439,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,21,1.7499297633767128,1.3426483049988747,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,22,1.620553858578205,1.2575353533029556,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,23,1.7827614322304726,1.2139033898711205,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,24,1.8276573568582535,1.2461310476064682,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,25,1.904805600643158,1.13908152282238,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,26,1.6765381768345833,1.1268511936068535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,27,1.7978558614850044,1.213769368827343,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,28,1.6353709548711777,1.1329900547862053,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,none,128,512,4,29,1.6663775220513344,1.1328783109784126,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,0,1.074658989906311,5.516673177480698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,1,1.2023782432079315,1.5464336723089218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,2,1.1319844499230385,1.2873298302292824,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,3,1.250771351158619,1.146246425807476,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,4,1.172732137143612,1.126074455678463,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,5,1.3934523090720177,1.1261163130402565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,6,1.2639480233192444,1.3017523363232613,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,7,1.1727063953876495,1.1973343789577484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,8,1.256576493382454,1.22721466422081,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,9,1.2088512554764748,1.197967290878296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,10,1.171694353222847,1.3669117912650108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,11,1.1366404220461845,1.2144282907247543,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,12,1.1304696947336197,1.0690568834543228,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,13,1.1103632375597954,1.060584895312786,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,14,1.173567272722721,1.1709498837590218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,15,1.2154315635561943,1.152604602277279,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,16,1.033033475279808,1.0969994962215424,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,17,1.0211472287774086,1.1396895945072174,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,history,64,512,4,18,1.1880919858813286,1.1560478210449219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
