row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,funnel,0,bucketed,history,64,128,4,7,0.413815513253212,0.4669584110379219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,8,0.4766639918088913,0.4399724677205086,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,9,0.4702337682247162,0.4015827924013138,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,10,0.44739215075969696,0.40583763271570206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,11,0.46508121490478516,0.4465572312474251,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,12,0.5126010179519653,0.41323989629745483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,13,0.4968699663877487,0.37846144288778305,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,14,0.501067504286766,0.3547256290912628,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,15,0.4679785296320915,0.36726294457912445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,16,0.41064363718032837,0.3849094286561012,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,17,0.5533338338136673,0.3881619721651077,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,18,0.39587291330099106,0.3919840678572655,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,19,0.4129762277007103,0.4384659230709076,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,20,0.4510273039340973,0.41566649824380875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,21,0.42667102813720703,0.3698255270719528,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,22,0.43421316146850586,0.4288349971175194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,23,0.4561811313033104,0.3962514251470566,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,24,0.45801109820604324,0.3916432783007622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,25,0.4496896117925644,0.4359043389558792,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,26,0.3506971672177315,0.40164392441511154,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,27,0.40465252101421356,0.408945195376873,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,28,0.43512485176324844,0.396708182990551,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,funnel,0,bucketed,history,64,128,4,29,0.4191327691078186,0.4093683660030365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,funnel,0,bucketed,history,128,128,4,0,2.742673970758915,3.8272049874067307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
