row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,gaussian_process,0,bucketed,history,64,128,3,6,1.1211547255516052,1.0069474801421165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,7,1.1142319589853287,1.0029423609375954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,8,1.1275252476334572,1.0851334184408188,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,9,1.1378447785973549,1.104401983320713,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,10,1.15036953240633,1.1787292584776878,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,11,1.1850740909576416,1.0013150796294212,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,12,1.163994699716568,0.9786069095134735,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,13,1.0844463780522346,0.9891222342848778,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,14,1.1401143074035645,0.9829054549336433,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,15,1.0800982415676117,1.033159926533699,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,16,1.1572185903787613,0.9949937835335732,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,17,1.0961531326174736,1.0664179995656013,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,18,1.0861762762069702,1.0281399637460709,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,19,1.1045688018202782,1.0576942786574364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,20,1.0566249787807465,1.0664658099412918,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,21,1.129626341164112,1.0486339032649994,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,22,1.1265989243984222,1.2421237230300903,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,23,1.229623794555664,1.5331960022449493,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,24,1.1202711015939713,1.5058633163571358,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,25,1.150103747844696,1.5574325323104858,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,26,1.1056349575519562,1.6070866212248802,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,27,1.075948841869831,1.3992551490664482,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,28,1.084589160978794,1.3484848961234093,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,29,1.1301135048270226,1.5121919065713882,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,0,4.562394306063652,8.343025624752045,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,1,1.0677392482757568,1.0349181070923805,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,2,1.0744555667042732,1.0342176631093025,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,3,1.0686727315187454,1.022750549018383,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,4,1.0798255503177643,1.0418507531285286,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,5,1.0670782625675201,1.1734895929694176,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,6,1.0992450639605522,1.0069474801421165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,7,1.059768207371235,1.0029423609375954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,8,1.055099494755268,1.0851334184408188,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,9,1.1059082970023155,1.104401983320713,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,10,1.0971532091498375,1.1787292584776878,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,11,1.1002297401428223,1.0013150796294212,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,12,1.0983058214187622,0.9786069095134735,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,13,1.1482739299535751,0.9891222342848778,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,14,1.2135579586029053,0.9829054549336433,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,15,1.1192800998687744,1.033159926533699,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,16,1.1644041687250137,0.9949937835335732,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,17,1.3890544772148132,1.0664179995656013,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,18,1.2724849730730057,1.0281399637460709,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,19,1.2711126729846,1.0576942786574364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,20,1.260783314704895,1.0664658099412918,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,history,128,128,3,21,1.2154642418026924,1.0486339032649994,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
