model,num_chains,predictor,bucket_size,seeds,repeats_per_seed,median_speedup,speedup_seed_min,speedup_seed_max,speedup_ci_low,speedup_ci_high,median_time_seconds,time_q1_seconds,time_q3_seconds,all_leapfrog_counts_match
funnel,128,history,64,5,30,0.9150932767234523,0.8346582497578696,1.026187988504333,0.8330975296788402,1.0349299345392398,0.47519566491246223,0.43696452490985394,0.5163215175271034,True
funnel,128,history,128,5,30,0.8044853540606327,0.6798931921877834,0.8750465420437269,0.6734790521563785,0.8740514007371157,0.5475473627448082,0.511516323313117,0.6345276702195406,True
funnel,128,last-depth,64,5,30,0.8843259898013603,0.8144234243915535,0.9151255998360289,0.8064068744422986,0.9381893491348904,0.48780732974410057,0.4412990976125002,0.5371643900871277,True
funnel,128,last-depth,128,5,30,0.8000602027327751,0.7658455191647469,0.8748700923434685,0.7514878048298266,0.8851669393398203,0.5434569790959358,0.49429276771843433,0.5891370456665754,True
funnel,256,history,64,5,30,0.8110767324634753,0.7194877375685474,0.8736942562668221,0.7143557586374352,0.8805168860448729,0.6832652613520622,0.6412198655307293,0.735408890992403,True
funnel,256,history,128,5,30,0.9005455093803716,0.7802280470067816,0.9486726152459652,0.7791726849263951,0.9531331417452062,0.6253122016787529,0.5906994715332985,0.6705926656723022,True
funnel,256,last-depth,64,5,30,0.7255053009250783,0.6816979706143343,0.7974595077141028,0.6790989800086547,0.7999899344700908,0.7631585076451302,0.7072432152926922,0.8009937480092049,True
funnel,256,last-depth,128,5,30,0.788337600171775,0.7227366014799416,0.8457202978921199,0.7168369756334176,0.8533077086304462,0.7011410258710384,0.659917239099741,0.7461610604077578,True
funnel,512,history,64,5,30,1.0080637615143924,0.8749628762406094,1.030804588302624,0.8745905039916751,1.0564497704712323,1.1833754554390907,1.1070243883877993,1.2791264280676842,True
funnel,512,history,128,5,30,0.9851168314946561,0.9386679648046286,1.027759758473542,0.9302810240770069,1.0368983152387405,1.189690113067627,1.1126592550426722,1.2881572060286999,True
funnel,512,last-depth,64,5,30,0.8915575523135478,0.8623581640648617,1.0386183628972234,0.8499245687723072,1.0434816870261507,1.2517283409833908,1.1869670078158379,1.3436704333871603,True
funnel,512,last-depth,128,5,30,0.907934643922234,0.8613737862885987,1.0027046661433996,0.855429380017724,1.0071351329114202,1.2860960401594639,1.2263695243746042,1.3408964350819588,True
funnel,1024,history,64,5,30,1.2102297950711987,1.1088104043201346,1.2349802938074228,1.1030608664792962,1.2531527522327992,2.128910467028618,2.0543698500841856,2.2629984952509403,True
funnel,1024,history,128,5,30,1.402501091054251,1.2183748024105314,1.4922541986434903,1.2142777109952985,1.4952021518562262,1.8589601255953312,1.7788213547319174,1.933649817481637,True
funnel,1024,last-depth,64,5,30,1.2019888316677076,1.1714859478393638,1.2637113464993586,1.1514017412573714,1.2787471834838269,2.1355249620974064,2.021735781803727,2.2604661509394646,True
funnel,1024,last-depth,128,5,30,1.2261228626672296,1.183915593313936,1.3722336151732193,1.1679582202144672,1.3763650976982187,2.0475966446101665,1.885242285206914,2.20421639084816,True
gaussian_process,128,history,64,5,30,0.9289732456816031,0.9005016876267106,0.9410587613012716,0.8930158091835511,0.9519755234840112,1.0982070416212082,1.0761999655514956,1.1314449533820152,True
gaussian_process,128,history,128,5,30,0.9317213287970072,0.8883583109063274,0.9628192989101235,0.884246044539755,0.9630249677617225,1.1009517349302769,1.074383269995451,1.147449854761362,True
gaussian_process,128,last-depth,64,5,30,0.9353970586233453,0.8751522148500069,0.9443244140051904,0.8726715130686697,0.9571555773735255,1.1112661994993687,1.0674919318407774,1.1458316314965487,True
gaussian_process,128,last-depth,128,5,30,0.9068721905076184,0.8322021345918256,0.9668271492627593,0.8308727084460161,0.966951185256152,1.109159518033266,1.0822291783988476,1.160458330065012,True
gaussian_process,256,history,64,5,30,0.975776451822201,0.9272681435794982,1.0008835295841827,0.9213794097671821,1.0083279923081856,2.0483224913477898,2.007885390892625,2.102418104186654,True
gaussian_process,256,history,128,5,30,0.9717721846558841,0.9340265450389774,0.9947715467464431,0.931723328179272,1.0102415562361018,2.044852875173092,2.0033246651291847,2.102695994079113,True
gaussian_process,256,last-depth,64,5,30,0.9763099495405202,0.9469522575506287,0.9907160917056606,0.9448466844299412,1.0032472428173385,2.035698313266039,1.9943050052970648,2.081649649888277,True
gaussian_process,256,last-depth,128,5,30,0.9566042293406897,0.9414062332814535,0.9773137613779891,0.9346686806226819,0.9920488413226131,2.071912456303835,2.0266195125877857,2.1350224632769823,True
gaussian_process,512,history,64,5,30,1.0276798529945772,0.9669235675971355,1.086171453249652,0.9625593560684851,1.092352469826679,3.700549714267254,3.4624429251998663,3.8655889686197042,True
gaussian_process,512,history,128,5,30,1.0307791518105984,0.9731919700902519,1.0909991957251335,0.968709569810812,1.0971768967152524,3.708528093993664,3.379608741030097,3.9081751368939877,True
gaussian_process,512,last-depth,64,5,30,1.0173297793678806,0.9590684464403418,1.1017635227797982,0.9549375807743384,1.1125725281699232,3.679928943514824,3.3595798779278994,3.8714111745357513,True
gaussian_process,512,last-depth,128,5,30,1.053944420301315,1.0265702286364076,1.1219981387559232,1.0249573130369016,1.1300436388637147,3.4818146228790283,3.340422721579671,3.6849809028208256,True
gaussian_process,1024,history,64,5,30,1.1319585076521186,1.1190242390784317,1.185792740225952,1.11023979202542,1.1912252490102915,6.7645022459328175,6.676034830510616,6.917599940672517,True
gaussian_process,1024,history,128,5,30,1.1456628074878257,1.1367734752588083,1.2085946574924782,1.1312134286876971,1.2104946616824919,6.697685748338699,6.597028033807874,6.7969567608088255,True
gaussian_process,1024,last-depth,64,5,30,1.1398022623189286,1.1012364586431727,1.1914948142992468,1.0986353182961497,1.192164641701558,6.812686160206795,6.720048846676946,6.9203984551131725,True
gaussian_process,1024,last-depth,128,5,30,1.1534045361337837,1.0930269922920277,1.20373295488313,1.092211733405562,1.205690786367832,6.743183247745037,6.653192209079862,6.853031339123845,True
