model,model_family,parameterization,seed,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,predictor_beta,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count
gaussian_process,gaussian_process,log_hyperparameters,0,history,2,4,3,,,8,,,squared_exponential,1,37,1e-05,1,0.005,2,0.9,5.968248583376408,6.8684253841638565,0.8689398587829262,6,0,2,6,0,2,2,0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,history,4,4,3,,,8,,,squared_exponential,1,37,1e-05,1,0.005,2,0.9,5.968248583376408,1.190337412059307,5.013913301314473,6,0,2,6,0,2,1,0,0.0,0.0,0
