benchmark,model,model_family,parameterization,seed,method,predictor,bucket_size,num_chains,dimension,num_steps,step_size,max_tree_depth,predictor_beta,baseline_type,time_seconds,speedup_vs_monolithic,speedup,speedup_unprofiled_vs_monolithic,speedup_profiled_vs_monolithic,t_mono,t_bucket,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,timing_unprofiled_warm_iteration_seconds,timing_profiled_warm_iteration_seconds,timing_ready_tree_block_seconds,timing_component_jit_measurement_overhead_seconds,timing_component_jit_measurement_overhead_ratio,timing_repeated_planning_seconds,timing_small_cpu_fixed_overhead_seconds,diagnostic_primary_overhead,diagnostic_conclusion,equivalence_passed,positions_allclose,float_metrics_within_tolerance,discrete_metrics_exact,final_rng_keys_equal,max_position_delta,metric_max_abs_delta,realized_depth_std,realized_depth_range,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count,homogeneous_control_type
homogeneous_negative_control,funnel,negative_control,,0,monolithic,monolithic,0,256,128,8,0.03,5,0.9,nuts_reference,0.24698395282030106,1.0,1.0,1.0,1.0,0.24698395282030106,0.24698395282030106,55567,0,5,55567,0,5,55567,0,5,,0,0.0,0.24698395282030106,0.24698395282030106,3.581494092941284e-05,0.0,0.0,0.0,0.0,none,monolithic reference row,True,True,True,True,True,0.0,0.0,0.3216435757849828,1,True,3.432081788778305,3.185097835958004,0.24698395282030106,0.0,0.24698395282030106,0.0,0.0,0.0,0.24698395282030106,0.0,0,
homogeneous_negative_control,funnel,negative_control,,0,bucketed,none,256,256,128,8,0.03,5,0.9,bucketed_nuts_homogeneous_negative_control,0.28763602674007416,0.8586683511780364,0.8586683511780364,0.8586683511780364,0.7484271000052154,0.24698395282030106,0.28763602674007416,55567,0,5,55567,0,5,55567,0,5,1,0,0.0,0.28763602674007416,0.330004021525383,0.00016613304615020752,0.04236799478530884,0.14729724668181152,0.0386427566409111,0.14487873762845993,executor,production no-padding one-bucket slowdown is bounded; profiled unattributed time is reported as small-CPU fixed overhead from repeated planning plus component timing/blocking and is separated from the executor component,True,True,True,True,True,0.0,0.0,0.3216435757849828,1,True,2.2625920176506042,1.9325879961252213,0.330004021525383,0.0386427566409111,0.21973200887441635,0.0018049031496047974,0.005956366658210754,0.0,0.266136035323143,0.06386798620223999,0,single_bucket_no_padding_uniform_prediction
