row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
1,eight_schools_noncentered,0,bucketed,none,64,512,10,9,0.5046655759215355,0.4376004785299301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,10,0.5109286978840828,0.40481144934892654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,11,0.5207302868366241,0.43699079006910324,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,12,0.5825020000338554,0.4259481728076935,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,13,0.5774061158299446,0.48324649780988693,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,14,0.5392620339989662,0.44373349845409393,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,15,0.4795003831386566,0.38824448734521866,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,16,0.5150725841522217,0.40607158839702606,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,17,0.48357051610946655,0.4142390862107277,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,18,0.5648401081562042,0.46437107771635056,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,19,0.46222612261772156,0.4123690128326416,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,20,0.5280019119381905,0.34695278108119965,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,21,0.5455746278166771,0.42094798386096954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,22,0.4549967274069786,0.4756600558757782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,23,0.6042993739247322,0.47432053834199905,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,24,0.588298961520195,0.41115882992744446,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,25,0.5466422438621521,0.43033184856176376,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,26,0.49045444279909134,0.4238474667072296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,27,0.5328503996133804,0.4765070006251335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,28,0.49141765385866165,0.49719198048114777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,eight_schools_noncentered,0,bucketed,none,64,512,10,29,0.5027950331568718,0.5434698089957237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,0,2.851054549217224,4.783946365118027,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,1,0.4379236549139023,0.4406552165746689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,2,0.45181532204151154,0.38037731498479843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,3,0.502796433866024,0.45840317010879517,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,4,0.4588642343878746,0.41867369413375854,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,5,0.44617513567209244,0.4614218771457672,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,6,0.44992026686668396,0.39845936745405197,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,7,0.4811960533261299,0.4637657627463341,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,8,0.4310567378997803,0.42654789984226227,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,eight_schools_noncentered,0,bucketed,none,128,512,10,9,0.5040789544582367,0.4376004785299301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
