benchmark,model,seed,scheduler_mode,scheduler_label,is_analysis_upper_bound,bucket_size,step,bucket_index,bucket_capacity,occupancy,padding_count,fill_fraction,bucket_min_predicted_work,bucket_max_predicted_work,bucket_realized_max,global_realized_max
oracle_gap,funnel,0,history,history,False,64,5,5,64,64,0,1.0,2.981940269470215,3.0475504398345947,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,5,6,64,64,0,1.0,3.0475504398345947,3.0629403591156006,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,5,7,64,64,0,1.0,3.0629403591156006,3.399550437927246,8.0,8.0
oracle_gap,funnel,0,history,history,False,64,6,0,64,64,0,1.0,2.7432851791381836,3.045236587524414,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,6,1,64,64,0,1.0,3.045236587524414,3.1298463344573975,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,6,2,64,64,0,1.0,3.1298463344573975,3.2027463912963867,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,6,3,64,64,0,1.0,3.2027463912963867,3.252795457839966,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,6,4,64,64,0,1.0,3.252795457839966,3.2837462425231934,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,6,5,64,64,0,1.0,3.2837462425231934,3.3427953720092773,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,6,6,64,64,0,1.0,3.3427953720092773,3.3837461471557617,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,6,7,64,64,0,1.0,3.389136552810669,3.7595953941345215,8.0,8.0
oracle_gap,funnel,0,history,history,False,64,7,0,64,64,0,1.0,2.8689568042755127,3.286567211151123,6.0,8.0
oracle_gap,funnel,0,history,history,False,64,7,1,64,64,0,1.0,3.2997617721557617,3.406322717666626,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,7,2,64,64,0,1.0,3.408761978149414,3.476567029953003,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,7,3,64,64,0,1.0,3.476567029953003,3.542905569076538,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,7,4,64,64,0,1.0,3.542905569076538,3.5553717613220215,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,7,5,64,64,0,1.0,3.5553717613220215,3.608515977859497,7.0,8.0
oracle_gap,funnel,0,history,history,False,64,7,6,64,64,0,1.0,3.608515977859497,3.7085161209106445,8.0,8.0
oracle_gap,funnel,0,history,history,False,64,7,7,64,64,0,1.0,3.7085161209106445,4.170271873474121,8.0,8.0
oracle_gap,funnel,0,history,history,False,128,0,0,128,128,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,history,history,False,128,0,1,128,128,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,history,history,False,128,0,2,128,128,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,history,history,False,128,0,3,128,128,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,history,history,False,128,1,0,128,128,0,1.0,1.4000000953674316,1.4000000953674316,7.0,7.0
oracle_gap,funnel,0,history,history,False,128,1,1,128,128,0,1.0,1.4000000953674316,1.4000000953674316,6.0,7.0
oracle_gap,funnel,0,history,history,False,128,1,2,128,128,0,1.0,1.4000000953674316,1.5000001192092896,7.0,7.0
oracle_gap,funnel,0,history,history,False,128,1,3,128,128,0,1.0,1.5000001192092896,1.5000001192092896,6.0,7.0
oracle_gap,funnel,0,history,history,False,128,2,0,128,128,0,1.0,1.660000205039978,1.8500001430511475,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,2,1,128,128,0,1.0,1.8500001430511475,1.8600002527236938,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,2,2,128,128,0,1.0,1.8600002527236938,1.9500001668930054,8.0,8.0
oracle_gap,funnel,0,history,history,False,128,2,3,128,128,0,1.0,1.9500001668930054,2.0500001907348633,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,3,0,128,128,0,1.0,1.9940003156661987,2.1740002632141113,7.0,7.0
oracle_gap,funnel,0,history,history,False,128,3,1,128,128,0,1.0,2.184000253677368,2.265000343322754,7.0,7.0
oracle_gap,funnel,0,history,history,False,128,3,2,128,128,0,1.0,2.265000343322754,2.3550002574920654,7.0,7.0
oracle_gap,funnel,0,history,history,False,128,3,3,128,128,0,1.0,2.3550002574920654,2.5550003051757812,7.0,7.0
oracle_gap,funnel,0,history,history,False,128,4,0,128,128,0,1.0,2.2666003704071045,2.5385003089904785,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,4,1,128,128,0,1.0,2.5385003089904785,2.629500150680542,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,4,2,128,128,0,1.0,2.629500150680542,2.7195003032684326,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,4,3,128,128,0,1.0,2.7195003032684326,2.999500274658203,8.0,8.0
oracle_gap,funnel,0,history,history,False,128,5,0,128,128,0,1.0,2.539940357208252,2.828040361404419,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,5,1,128,128,0,1.0,2.828040361404419,2.96655011177063,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,5,2,128,128,0,1.0,2.96655011177063,3.0475504398345947,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,5,3,128,128,0,1.0,3.0475504398345947,3.399550437927246,8.0,8.0
oracle_gap,funnel,0,history,history,False,128,6,0,128,128,0,1.0,2.7432851791381836,3.1298463344573975,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,6,1,128,128,0,1.0,3.1298463344573975,3.252795457839966,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,6,2,128,128,0,1.0,3.252795457839966,3.3427953720092773,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,6,3,128,128,0,1.0,3.3427953720092773,3.7595953941345215,8.0,8.0
oracle_gap,funnel,0,history,history,False,128,7,0,128,128,0,1.0,2.8689568042755127,3.406322717666626,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,7,1,128,128,0,1.0,3.408761978149414,3.542905569076538,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,7,2,128,128,0,1.0,3.542905569076538,3.608515977859497,7.0,8.0
oracle_gap,funnel,0,history,history,False,128,7,3,128,128,0,1.0,3.608515977859497,4.170271873474121,8.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0,0,64,64,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0,1,64,64,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0,2,64,64,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0,3,64,64,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0,4,64,64,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0,5,64,64,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0,6,64,64,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,0,7,64,64,0,1.0,1.0,1.0,6.0,6.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,1,0,64,64,0,1.0,5.0,5.0,6.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,1,1,64,64,0,1.0,5.0,5.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,1,2,64,64,0,1.0,5.0,5.0,6.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,1,3,64,64,0,1.0,5.0,5.0,6.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,1,4,64,64,0,1.0,5.0,6.0,6.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,1,5,64,64,0,1.0,6.0,6.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,1,6,64,64,0,1.0,6.0,6.0,6.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,1,7,64,64,0,1.0,6.0,6.0,6.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,2,0,64,64,0,1.0,4.0,5.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,2,1,64,64,0,1.0,5.0,5.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,2,2,64,64,0,1.0,5.0,5.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,2,3,64,64,0,1.0,5.0,6.0,8.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,2,4,64,64,0,1.0,6.0,6.0,6.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,2,5,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,2,6,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,2,7,64,64,0,1.0,6.0,7.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,3,0,64,64,0,1.0,4.0,5.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,3,1,64,64,0,1.0,5.0,5.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,3,2,64,64,0,1.0,5.0,6.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,3,3,64,64,0,1.0,6.0,6.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,3,4,64,64,0,1.0,6.0,6.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,3,5,64,64,0,1.0,6.0,6.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,3,6,64,64,0,1.0,6.0,6.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,3,7,64,64,0,1.0,6.0,8.0,7.0,7.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,4,0,64,64,0,1.0,4.0,5.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,4,1,64,64,0,1.0,5.0,5.0,6.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,4,2,64,64,0,1.0,5.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,4,3,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,4,4,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,4,5,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,4,6,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,4,7,64,64,0,1.0,6.0,7.0,8.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,5,0,64,64,0,1.0,4.0,5.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,5,1,64,64,0,1.0,5.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,5,2,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,5,3,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,5,4,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,5,5,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,5,6,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,5,7,64,64,0,1.0,6.0,8.0,8.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,6,0,64,64,0,1.0,4.0,5.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,6,1,64,64,0,1.0,5.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,6,2,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,6,3,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,6,4,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,6,5,64,64,0,1.0,6.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,6,6,64,64,0,1.0,6.0,7.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,6,7,64,64,0,1.0,7.0,8.0,8.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,7,0,64,64,0,1.0,4.0,5.0,6.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,7,1,64,64,0,1.0,5.0,6.0,7.0,8.0
oracle_gap,funnel,0,oracle_previous,oracle_previous,False,64,7,2,64,64,0,1.0,6.0,6.0,7.0,8.0
