model,num_chains,predictor,bucket_size,seeds,repeats_per_seed,median_speedup,speedup_seed_min,speedup_seed_max,speedup_ci_low,speedup_ci_high,median_time_seconds,time_q1_seconds,time_q3_seconds,all_transition_metrics_match
eight_schools_centered,512,history,64,5,30,0.9502366072516484,0.9127595089058878,1.0316909678215598,0.9106009491104098,1.032033439762442,1.8789308816194534,1.8342370614409447,1.9163539987057447,True
eight_schools_centered,512,history,128,5,30,1.0298329034646256,1.0234711785225743,1.1016816600676869,1.0186287298190746,1.1057135284686352,1.7192991934716702,1.6939187217503786,1.7522235959768295,True
eight_schools_centered,512,last-depth,64,5,30,0.9464824534199863,0.9092179059627429,1.0210553217228744,0.9039572583223446,1.0289281914122559,1.8839320726692677,1.8450067583471537,1.934522470459342,True
eight_schools_centered,512,last-depth,128,5,30,1.0355271229495486,1.0189078033375703,1.116021221378687,1.017307697353066,1.116382657445619,1.7209560759365559,1.6955009456723928,1.7494877111166716,True
eight_schools_centered,512,unsorted,64,5,30,0.9523370297001161,0.930781205625662,1.0086424562418692,0.9250683458640125,1.0141119278527253,1.8811026029288769,1.842959789559245,1.9464835487306118,True
eight_schools_centered,512,unsorted,128,5,30,1.0377583682974185,0.9700525995528417,1.1153160939732012,0.9695765009226642,1.1159314118627364,1.7316859513521194,1.7079769019037485,1.7666104268282652,True
eight_schools_noncentered,512,history,64,5,30,0.9030586969756216,0.7750488120333519,1.0119329143176354,0.7509491616766685,1.0179915885759157,0.4905245155096054,0.45499961264431477,0.5273619405925274,True
eight_schools_noncentered,512,history,128,5,30,0.951769307989055,0.907206163858393,1.0901550518713543,0.8799335012572693,1.0934701881043294,0.44137024134397507,0.4188931807875633,0.4642042964696884,True
eight_schools_noncentered,512,last-depth,64,5,30,0.8217966967145521,0.6951790986610749,1.0124798933787684,0.6925077552668959,1.0131771130691964,0.512518297880888,0.4737875759601593,0.5648803692311049,True
eight_schools_noncentered,512,last-depth,128,5,30,0.8788621404078945,0.7355991413249877,1.0562185532093769,0.7265364586405216,1.0600512197096832,0.5015999674797058,0.4492923729121685,0.5451682638376951,True
eight_schools_noncentered,512,unsorted,64,5,30,0.8258770651072341,0.7787863785888394,0.8844334255247472,0.7625245095697647,0.8943322776482713,0.5216883048415184,0.4739438518881798,0.5671695377677679,True
