predictor,bucket_size,seeds,mean_step_spearman,deepest_10pct_recall,mean_within_bucket_depth_range,mean_absolute_error,depth_lag1_correlation
history,64,5,0.5940955753780324,0.4915865384615385,1.7828125,1.2877330280927708,0.7564365672874114
history,128,5,0.5940955753780324,0.4915865384615385,2.03125,1.2877330280927708,0.7564365672874114
last-depth,64,5,0.631108952217839,0.6716346153846154,1.9046875,0.3067138671875,0.7564365672874114
last-depth,128,5,0.631108952217839,0.6716346153846154,2.146875,0.3067138671875,0.7564365672874114
oracle-current,64,5,1.0,1.0,0.4078125,0.0,0.7564365672874114
oracle-current,128,5,1.0,1.0,0.815625,0.0,0.7564365672874114
