model,num_chains,predictor,bucket_size,seeds,repeats_per_seed,median_speedup,speedup_seed_min,speedup_seed_max,speedup_ci_low,speedup_ci_high,median_time_seconds,time_q1_seconds,time_q3_seconds,all_transition_metrics_match
funnel,128,history,64,5,30,0.9139671670115989,0.8567528172821556,0.9613972216927432,0.8486768587575367,0.9726179543278056,0.5350994393229485,0.4704310931265354,0.5853298157453537,True
funnel,128,history,128,5,30,0.8121899243099885,0.7583766108785321,0.8418526071651063,0.7376658628264399,0.8563356428414671,0.5869616568088531,0.5413098558783531,0.657456049695611,True
funnel,128,last-depth,64,5,30,0.9625500113356893,0.7784153646016944,1.0612439931511104,0.7597915949808984,1.0644196155405552,0.5239176079630852,0.4930581785738468,0.5655252728611231,True
funnel,128,last-depth,128,5,30,0.8232291472952409,0.7849621280432227,0.9529931459770343,0.775636216578751,0.9547887630440678,0.552281629294157,0.5096120052039623,0.6157271508127451,True
funnel,256,history,64,5,30,0.8621788850691052,0.7518579410460741,0.887813547959708,0.7510204972299157,0.9072116055274642,0.6858664937317371,0.6423800103366375,0.7332083340734243,True
funnel,256,history,128,5,30,0.903941660867907,0.8312222197121399,0.9360861036728128,0.81923102229861,0.963685796565451,0.6352929994463921,0.6021682545542717,0.7000515088438988,True
funnel,256,last-depth,64,5,30,0.7341889768551102,0.710154774717217,0.786660868054127,0.696507594063006,0.7937831699596436,0.7623726464807987,0.6727492585778236,0.8840731158852577,True
funnel,256,last-depth,128,5,30,0.8041484805522497,0.7162115994219406,0.8159340554997442,0.694416941833353,0.8413353625380213,0.7350055538117886,0.6622154638171196,0.8060218784958124,True
funnel,512,history,64,5,30,0.9253623872989234,0.8314961029906444,1.0106357215090562,0.80113718928549,1.0136403816730128,1.300365973263979,1.1844264473766088,1.3718993123620749,True
funnel,512,history,128,5,30,1.0060613262760818,0.8419176156738261,1.043828066620832,0.8407072869026975,1.0535336874333743,1.2253511920571327,1.1508192848414183,1.270029665902257,True
funnel,512,last-depth,64,5,30,0.8517707226854779,0.7939205868241371,0.9579250759322129,0.7861141774760871,0.962716818689352,1.3427831418812275,1.2844891678541899,1.4314487241208553,True
funnel,512,last-depth,128,5,30,0.8229185973770541,0.8154459198199249,0.9153862899938092,0.8001642078586694,0.9233446700326347,1.3697337470948696,1.283384369686246,1.4468686245381832,True
funnel,1024,history,64,5,30,1.2091091345315625,1.0846579467083115,1.2789321650625978,1.0840271254639258,1.2928054555834094,2.2573728263378143,2.1426734160631895,2.3856365494430065,True
funnel,1024,history,128,5,30,1.3115599251748635,1.2419085409400132,1.413182376032748,1.2266387185143541,1.4335490841619285,2.028488405048847,1.9418361354619265,2.1321257185190916,True
funnel,1024,last-depth,64,5,30,1.1601472370276502,1.0528683854938776,1.1729162155956736,1.0358439087472027,1.1926603259956359,2.4065848663449287,2.293460613116622,2.553209289908409,True
funnel,1024,last-depth,128,5,30,1.2370267983172971,1.2208511155540118,1.281921439104952,1.1975157178868845,1.294147002692592,2.1601196005940437,2.071344070136547,2.304019220173359,True
gaussian_process,128,history,64,5,30,0.9002236184770216,0.8363524770558453,0.9855767649304268,0.8345093717288455,0.9968218973206189,1.1745237447321415,1.1286202650517225,1.2502518855035305,True
gaussian_process,128,history,128,5,30,0.9065109409983461,0.8841028095556596,0.9997472153217973,0.8781225179113994,1.0073411567216566,1.1628550291061401,1.1253079064190388,1.2023390792310238,True
gaussian_process,128,last-depth,64,5,30,0.9014201563326565,0.7926489923507561,1.0064791651546663,0.791904533662047,1.013143169474619,1.1705781184136868,1.1201112736016512,1.2650422398000956,True
gaussian_process,128,last-depth,128,5,30,0.9285567859280152,0.8632433647279316,1.0064037144931361,0.8594498374289119,1.0088536623653328,1.1625292114913464,1.1163467522710562,1.2141920663416386,True
gaussian_process,256,history,64,5,30,0.9603201486691043,0.8932712540455378,0.9885489624333431,0.8919425221848964,0.9916730085605047,2.171294614672661,2.092637637630105,2.309404304251075,True
gaussian_process,256,history,128,5,30,0.9293547572871619,0.9107780881129787,1.0871364136016275,0.897613932894488,1.088580999401626,2.144944455474615,2.08266687579453,2.2493582479655743,True
gaussian_process,256,last-depth,64,5,30,0.9569006359640669,0.9148464073712569,1.039367334227335,0.9108112402588245,1.0401768401714095,2.157293915748596,2.0819141753017902,2.2416358031332493,True
gaussian_process,256,last-depth,128,5,30,0.9327845953175554,0.8611661162652242,1.0535311311667668,0.8575408091762369,1.054618952958441,2.1717264875769615,2.097712256014347,2.271438229829073,True
gaussian_process,512,history,64,5,30,0.9958781036364639,0.9333663630678194,1.0937276003186356,0.9289594703623213,1.096933912654104,4.05905444175005,3.9360567536205053,4.19737140275538,True
gaussian_process,512,history,128,5,30,0.9950176955384419,0.9695815637643587,1.1273038228127648,0.966621060737609,1.1276715674983249,3.965162865817547,3.8185177128762007,4.118670210242271,True
gaussian_process,512,last-depth,64,5,30,0.9894024591751134,0.893825614111985,1.1020664388601438,0.8957994801550849,1.1033709701440133,4.064912147819996,3.931864148005843,4.231811176985502,True
gaussian_process,512,last-depth,128,5,30,1.0084087699858648,0.9866980589897334,1.126421945740935,0.98117642130293,1.1293497588649204,3.927254982292652,3.762579010799527,4.0563910491764545,True
gaussian_process,1024,history,64,5,30,1.1170439087324104,1.0437324699790247,1.162396631352605,1.0429519513609367,1.1753146032917299,7.949384052306414,7.709543390199542,8.18628615140915,True
gaussian_process,1024,history,128,5,30,1.1322719308641387,1.0843951503546414,1.1853130384864814,1.0794062069662334,1.1905742514435196,7.788365732878447,7.552588913589716,8.085516916587949,True
gaussian_process,1024,last-depth,64,5,30,1.1356065795285615,1.0307710658324354,1.1617426265738413,1.026611070586456,1.1725446886388573,7.98467642813921,7.799042843282223,8.246642282232642,True
gaussian_process,1024,last-depth,128,5,30,1.1255926763726392,1.1186861198454228,1.1378996409807627,1.103101694611501,1.1573297540056737,7.882502939552069,7.5581833608448505,8.230598777532578,True
